t,X_O,X_O2,Th,Tv,rho,p,n,E
1.630640804110e-06,8.052711818830e-02,9.194728818120e-01,1.000000000000e+04,6.293783287750e+03,9.380891896690e-04,2.539759767480e+03,1.839540511370e+22,8.498312802910e+06
1.655100426170e-06,8.109450495930e-02,9.189054950410e-01,1.000000000000e+04,6.321720978970e+03,9.380891896690e-04,2.540510730000e+03,1.840084431300e+22,8.509924820560e+06
1.679926942560e-06,8.167412771840e-02,9.183258722820e-01,1.000000000000e+04,6.349908269110e+03,9.380891896690e-04,2.541278346100e+03,1.840640413390e+22,8.521699415150e+06
1.705125856700e-06,8.226630221720e-02,9.177336977830e-01,1.000000000000e+04,6.378344771450e+03,9.380891896690e-04,2.542063064140e+03,1.841208782350e+22,8.533638939200e+06
1.730702754550e-06,8.287135385610e-02,9.171286461440e-01,1.000000000000e+04,6.407030003590e+03,9.380891896690e-04,2.542865346990e+03,1.841789873450e+22,8.545746164540e+06
1.756663305870e-06,8.348961802040e-02,9.165103819800e-01,1.000000000000e+04,6.435963384310e+03,9.380891896690e-04,2.543685672580e+03,1.842384032860e+22,8.558023727400e+06
1.783013265450e-06,8.412144042690e-02,9.158785595730e-01,1.000000000000e+04,6.465144230280e+03,9.380891896690e-04,2.544524534520e+03,1.842991618090e+22,8.570474331070e+06
1.809758474440e-06,8.476717748510e-02,9.152328225150e-01,1.000000000000e+04,6.494571752670e+03,9.380891896690e-04,2.545382442640e+03,1.843612998410e+22,8.583100748350e+06
1.836904861550e-06,8.542719680460e-02,9.145728031950e-01,1.000000000000e+04,6.524245081470e+03,9.380891896690e-04,2.546259923810e+03,1.844248555440e+22,8.595905832080e+06
1.864458444480e-06,8.610187785660e-02,9.138981221430e-01,1.000000000000e+04,6.554163319050e+03,9.380891896690e-04,2.547157522960e+03,1.844898683850e+22,8.608892534210e+06
1.892425331140e-06,8.679161111730e-02,9.132083888830e-01,1.000000000000e+04,6.584325273610e+03,9.380891896690e-04,2.548075802050e+03,1.845563790690e+22,8.622063833480e+06
1.920811721110e-06,8.749679973440e-02,9.125032002660e-01,1.000000000000e+04,6.614729715710e+03,9.380891896690e-04,2.549015342470e+03,1.846244297040e+22,8.635422812860e+06
1.949623906930e-06,8.821785957680e-02,9.117821404230e-01,1.000000000000e+04,6.645375294270e+03,9.380891896690e-04,2.549976745220e+03,1.846940638220e+22,8.648972639780e+06
1.978868275530e-06,8.895521968610e-02,9.110447803140e-01,1.000000000000e+04,6.676260532750e+03,9.380891896690e-04,2.550960631700e+03,1.847653264300e+22,8.662716569520e+06
2.008551309660e-06,8.970932274510e-02,9.102906772550e-01,1.000000000000e+04,6.707383825160e+03,9.380891896690e-04,2.551967644530e+03,1.848382640720e+22,8.676657948650e+06
2.038679589310e-06,9.048062556310e-02,9.095193744370e-01,1.000000000000e+04,6.738743431890e+03,9.380891896690e-04,2.552998448330e+03,1.849129248880e+22,8.690800218780e+06
2.069259793150e-06,9.126959963180e-02,9.087304003680e-01,1.000000000000e+04,6.770337601620e+03,9.380891896690e-04,2.554053730720e+03,1.849893586800e+22,8.705146917200e+06
2.100298700050e-06,9.207673158650e-02,9.079232684140e-01,1.000000000000e+04,6.802164415050e+03,9.380891896690e-04,2.555134203090e+03,1.850676169750e+22,8.719701596260e+06
2.131803190550e-06,9.290252369420e-02,9.070974763060e-01,1.000000000000e+04,6.834221644370e+03,9.380891896690e-04,2.556240601530e+03,1.851477530880e+22,8.734468121510e+06
2.163780248410e-06,9.374749452360e-02,9.062525054760e-01,1.000000000000e+04,6.866507011740e+03,9.380891896690e-04,2.557373687900e+03,1.852298222000e+22,8.749450365780e+06
2.196236962130e-06,9.461217949080e-02,9.053878205090e-01,1.000000000000e+04,6.899018088760e+03,9.380891896690e-04,2.558534250890e+03,1.853138814350e+22,8.764652319590e+06
2.229180526560e-06,9.549713146600e-02,9.045028685340e-01,1.000000000000e+04,6.931752291930e+03,9.380891896690e-04,2.559723107030e+03,1.853999899350e+22,8.780077924820e+06
2.262618244460e-06,9.640292140280e-02,9.035970785970e-01,1.000000000000e+04,6.964706877950e+03,9.380891896690e-04,2.560941101880e+03,1.854882089420e+22,8.795731480170e+06
2.296557528130e-06,9.733013865450e-02,9.026698613460e-01,1.000000000000e+04,6.997879111840e+03,9.380891896690e-04,2.562189110700e+03,1.855786018530e+22,8.811617497370e+06
2.331005901050e-06,9.827939215430e-02,9.017206078460e-01,1.000000000000e+04,7.031266003990e+03,9.380891896690e-04,2.563468040410e+03,1.856712343550e+22,8.827740390820e+06
2.365970999570e-06,9.925131120630e-02,9.007486887940e-01,1.000000000000e+04,7.064864259020e+03,9.380891896690e-04,2.564778830960e+03,1.857661745280e+22,8.844104713010e+06
2.401460574560e-06,1.002465457650e-01,8.997534542350e-01,1.000000000000e+04,7.098670500890e+03,9.380891896690e-04,2.566122456120e+03,1.858634929020e+22,8.860715492850e+06
2.437482493180e-06,1.012657673680e-01,8.987342326320e-01,1.000000000000e+04,7.132681176340e+03,9.380891896690e-04,2.567499925060e+03,1.859632625720e+22,8.877577467990e+06
2.474044740580e-06,1.023096699180e-01,8.976903300820e-01,1.000000000000e+04,7.166892549820e+03,9.380891896690e-04,2.568912283910e+03,1.860655593060e+22,8.894695903400e+06
2.511155421680e-06,1.033789701680e-01,8.966210298320e-01,1.000000000000e+04,7.201300772130e+03,9.380891896690e-04,2.570360616760e+03,1.861704616280e+22,8.912076149550e+06
2.548822763010e-06,1.044744083820e-01,8.955255916180e-01,1.000000000000e+04,7.235901916150e+03,9.380891896690e-04,2.571846047110e+03,1.862780509100e+22,8.929723580160e+06
2.587055114450e-06,1.055967508400e-01,8.944032491600e-01,1.000000000000e+04,7.270691599190e+03,9.380891896690e-04,2.573369741720e+03,1.863884116610e+22,8.947644108200e+06
2.625860951170e-06,1.067467890640e-01,8.932532109360e-01,1.000000000000e+04,7.305665358370e+03,9.380891896690e-04,2.574932910100e+03,1.865016314870e+22,8.965843333240e+06
2.665248875440e-06,1.079253412600e-01,8.920746587400e-01,1.000000000000e+04,7.340818529530e+03,9.380891896690e-04,2.576536807090e+03,1.866178012720e+22,8.984327679230e+06
2.705227618570e-06,1.091332532760e-01,8.908667467240e-01,1.000000000000e+04,7.376146241840e+03,9.380891896690e-04,2.578182734690e+03,1.867370153230e+22,9.003103175560e+06
2.745806042850e-06,1.103713978170e-01,8.896286021830e-01,1.000000000000e+04,7.411643617580e+03,9.380891896690e-04,2.579872041720e+03,1.868593713330e+22,9.022176677810e+06
2.786993143490e-06,1.116406783270e-01,8.883593216730e-01,1.000000000000e+04,7.447305439670e+03,9.380891896690e-04,2.581606129750e+03,1.869849708180e+22,9.041554822530e+06
2.828798050640e-06,1.129420303490e-01,8.870579696510e-01,1.000000000000e+04,7.483126110900e+03,9.380891896690e-04,2.583386455740e+03,1.871139193050e+22,9.061244742620e+06
2.871230031400e-06,1.142764202110e-01,8.857235797890e-01,1.000000000000e+04,7.519099925670e+03,9.380891896690e-04,2.585214531040e+03,1.872463262600e+22,9.081253815620e+06
2.914298491880e-06,1.156448471760e-01,8.843551528240e-01,1.000000000000e+04,7.555220948210e+03,9.380891896690e-04,2.587091925160e+03,1.873823053620e+22,9.101589465730e+06
