t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,rho,p,n,E
4.934380991330e-11,5.000007025800e-02,7.064327502120e-01,2.057741457130e-01,3.294306040830e-02,4.251899472510e-03,5.257776626620e-04,6.512558236940e-05,7.142197682040e-06,2.849367421470e-08,1.000000000000e+04,4.000020140160e+03,4.000027583810e+03,4.000052839050e+03,4.000139202910e+03,4.000396280100e+03,4.000987472230e+03,4.004745030230e+03,4.022176718330e+03,9.380891896690e-04,2.500000090070e+03,1.810742694250e+22,6.227903445410e+06
5.009396706200e-11,5.000007132620e-02,7.064327011660e-01,2.057741707340e-01,3.294307561380e-02,4.251904674440e-03,5.257794226880e-04,6.512618203940e-05,7.142381809350e-06,2.849900210710e-08,1.000000000000e+04,4.000020446350e+03,4.000028003150e+03,4.000053642330e+03,4.000141319060e+03,4.000402303750e+03,4.001002477820e+03,4.004817074630e+03,4.022510516920e+03,9.380891896690e-04,2.500000091440e+03,1.810742695240e+22,6.227903701270e+06
5.085537656800e-11,5.000007241030e-02,7.064326513850e-01,2.057741961300e-01,3.294309104730e-02,4.251909954390e-03,5.257812091150e-04,6.512679070440e-05,7.142568698480e-06,2.850440991670e-08,1.000000000000e+04,4.000020757120e+03,4.000028428790e+03,4.000054457660e+03,4.000143466940e+03,4.000408417730e+03,4.001017708280e+03,4.004890196850e+03,4.022849219290e+03,9.380891896690e-04,2.500000092830e+03,1.810742696250e+22,6.227903960960e+06
5.162820721650e-11,5.000007351080e-02,7.064326008570e-01,2.057742219080e-01,3.294310671240e-02,4.251915313550e-03,5.257830223380e-04,6.512740849930e-05,7.142758390870e-06,2.850989884220e-08,1.000000000000e+04,4.000021072560e+03,4.000028860810e+03,4.000055285220e+03,4.000145647040e+03,4.000414623390e+03,4.001033167000e+03,4.004964412980e+03,4.023192895900e+03,9.380891896690e-04,2.500000094240e+03,1.810742697270e+22,6.227904224560e+06
5.241263032470e-11,5.000007462770e-02,7.064325495700e-01,2.057742480720e-01,3.294312261240e-02,4.251920753090e-03,5.257848627590e-04,6.512803556120e-05,7.142950928540e-06,2.851547010020e-08,1.000000000000e+04,4.000021392730e+03,4.000029299310e+03,4.000056125190e+03,4.000147859840e+03,4.000420922100e+03,4.001048857380e+03,4.005039739340e+03,4.023541618130e+03,9.380891896690e-04,2.500000095680e+03,1.810742698310e+22,6.227904492100e+06
5.320881977960e-11,5.000007576140e-02,7.064324975150e-01,2.057742746280e-01,3.294313875090e-02,4.251926274220e-03,5.257867307870e-04,6.512867202890e-05,7.143146354190e-06,2.852112492570e-08,1.000000000000e+04,4.000021717700e+03,4.000029744380e+03,4.000056977760e+03,4.000150105830e+03,4.000427315270e+03,4.001064782890e+03,4.005116192480e+03,4.023895458370e+03,9.380891896690e-04,2.500000097130e+03,1.810742699360e+22,6.227904763660e+06
5.401695207630e-11,5.000007691210e-02,7.064324446790e-01,2.057743015830e-01,3.294315513150e-02,4.251931878170e-03,5.257886268360e-04,6.512931804360e-05,7.143344711120e-06,2.852686457220e-08,1.000000000000e+04,4.000022047550e+03,4.000030196140e+03,4.000057843120e+03,4.000152385500e+03,4.000433804310e+03,4.001080947060e+03,4.005193789230e+03,4.024254489970e+03,9.380891896690e-04,2.500000098610e+03,1.810742700430e+22,6.227905039300e+06
5.483720635740e-11,5.000007808010e-02,7.064323910500e-01,2.057743289420e-01,3.294317175780e-02,4.251937566180e-03,5.257905513250e-04,6.512997374840e-05,7.143546043300e-06,2.853269031190e-08,1.000000000000e+04,4.000022382350e+03,4.000030654670e+03,4.000058721460e+03,4.000154699370e+03,4.000440390650e+03,4.001097353450e+03,4.005272546620e+03,4.024618787290e+03,9.380891896690e-04,2.500000100100e+03,1.810742701510e+22,6.227905319070e+06
5.566976445280e-11,5.000007926560e-02,7.064323366170e-01,2.057743567110e-01,3.294318863350e-02,4.251943339510e-03,5.257925046820e-04,6.513063928890e-05,7.143750395370e-06,2.853860343620e-08,1.000000000000e+04,4.000022722160e+03,4.000031120080e+03,4.000059612970e+03,4.000157047940e+03,4.000447075750e+03,4.001114005700e+03,4.005352481980e+03,4.024988425700e+03,9.380891896690e-04,2.500000101620e+03,1.810742702610e+22,6.227905603030e+06
5.651481091960e-11,5.000008046880e-02,7.064322813670e-01,2.057743848970e-01,3.294320576230e-02,4.251949199450e-03,5.257944873400e-04,6.513131481230e-05,7.143957812600e-06,2.854460525580e-08,1.000000000000e+04,4.000023067080e+03,4.000031592470e+03,4.000060517850e+03,4.000159431730e+03,4.000453861100e+03,4.001130907480e+03,4.005433612870e+03,4.025363481580e+03,9.380891896690e-04,2.500000103170e+03,1.810742703730e+22,6.227905891250e+06
