t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,Th,Tg_1,Tg_2,Tg_3,Tg_4,rho,p,n,E
2.993052725310e-11,5.000009320530e-02,3.995765232500e-07,9.499994456750e-01,6.152044340650e-09,5.539162606850e-08,1.000000000000e+04,6.319313615610e+03,5.004180832500e+02,6.087285899450e+03,5.795319629310e+03,7.504713517360e-03,2.000000095600e+04,1.448594172450e+23,4.526231455390e+06
3.038948516190e-11,5.000009463480e-02,4.057036505460e-07,9.499994371740e-01,6.246384258740e-09,5.624095470420e-08,1.000000000000e+04,6.319314001490e+03,5.004244926510e+02,6.087286240130e+03,5.795314927610e+03,7.504713517360e-03,2.000000097060e+04,1.448594173510e+23,4.526233552940e+06
3.085532743930e-11,5.000009608570e-02,4.119226840750e-07,9.499994285460e-01,6.342139393360e-09,5.710302164840e-08,1.000000000000e+04,6.319314393170e+03,5.004309981450e+02,6.087286585920e+03,5.795310155400e+03,7.504713517360e-03,2.000000098550e+04,1.448594174590e+23,4.526235681960e+06
3.132815735090e-11,5.000009755840e-02,4.182350024110e-07,9.499994197890e-01,6.439330976310e-09,5.797801792650e-08,1.000000000000e+04,6.319314790720e+03,5.004376011730e+02,6.087286936890e+03,5.795305311630e+03,7.504713517360e-03,2.000000100060e+04,1.448594175680e+23,4.526237842910e+06
3.180807971120e-11,5.000009905330e-02,4.246420048050e-07,9.499994109010e-01,6.537980557990e-09,5.886613742810e-08,1.000000000000e+04,6.319315194250e+03,5.004443031970e+02,6.087287293110e+03,5.795300395220e+03,7.504713517360e-03,2.000000101590e+04,1.448594176790e+23,4.526240036270e+06
3.229520090690e-11,5.000010057050e-02,4.311451114950e-07,9.499994018790e-01,6.638110012160e-09,5.976757694950e-08,1.000000000000e+04,6.319315603830e+03,5.004511056990e+02,6.087287654670e+03,5.795295405070e+03,7.504713517360e-03,2.000000103150e+04,1.448594177920e+23,4.526242262540e+06
3.278962892050e-11,5.000010211060e-02,4.377457640240e-07,9.499993927210e-01,6.739741540780e-09,6.068253623760e-08,1.000000000000e+04,6.319316019560e+03,5.004580101850e+02,6.087288021630e+03,5.795290340100e+03,7.504713517360e-03,2.000000104730e+04,1.448594179060e+23,4.526244522190e+06
3.329147335430e-11,5.000010367370e-02,4.444454255570e-07,9.499993834270e-01,6.842897679000e-09,6.161121803350e-08,1.000000000000e+04,6.319316441530e+03,5.004650181840e+02,6.087288394100e+03,5.795285199160e+03,7.504713517360e-03,2.000000106330e+04,1.448594180220e+23,4.526246815740e+06
3.380084545460e-11,5.000010526030e-02,4.512455812040e-07,9.499993739930e-01,6.947601300080e-09,6.255382811800e-08,1.000000000000e+04,6.319316869830e+03,5.004721312460e+02,6.087288772130e+03,5.795279981130e+03,7.504713517360e-03,2.000000107960e+04,1.448594181400e+23,4.526249143680e+06
3.431785813640e-11,5.000010687070e-02,4.581477383530e-07,9.499993644170e-01,7.053875620530e-09,6.351057535690e-08,1.000000000000e+04,6.319317304570e+03,5.004793509450e+02,6.087289155830e+03,5.795274684850e+03,7.504713517360e-03,2.000000109610e+04,1.448594182600e+23,4.526251506550e+06
