t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,rho,p,n,E
8.609033941800e-11,5.000026820890e-02,9.499639788360e-01,2.741269063160e-05,5.917005037990e-06,1.657347800340e-06,5.423353287850e-07,1.791903364640e-07,4.398290690580e-08,4.026770901500e-10,1.000000000000e+04,5.007533879770e+02,3.862782804610e+03,5.227863950120e+03,6.320139103930e+03,7.172439312500e+03,6.225039359420e+03,5.758452105980e+03,4.657296483320e+03,7.504713517360e-03,2.000000275090e+04,1.448594302450e+23,4.526488103880e+06
8.739169450920e-11,5.000027226580e-02,9.499634345020e-01,2.782688182260e-05,6.006456380790e-06,1.682403720980e-06,5.505343662390e-07,1.818992027970e-07,4.464773416990e-08,4.087742001990e-10,1.000000000000e+04,5.007647707860e+02,3.862832385160e+03,5.227866566050e+03,6.320140136760e+03,7.172433363050e+03,6.225026358780e+03,5.758472878910e+03,4.657379643550e+03,7.504713517360e-03,2.000000279250e+04,1.448594305470e+23,4.526494050850e+06
8.871256992690e-11,5.000027638370e-02,9.499628820030e-01,2.824728585420e-05,6.097249766760e-06,1.707835577600e-06,5.588564200600e-07,1.846487081270e-07,4.532253307480e-08,4.149630768410e-10,1.000000000000e+04,5.007763241700e+02,3.862881452980e+03,5.227869221190e+03,6.320141185100e+03,7.172427324500e+03,6.225013163300e+03,5.758493963390e+03,4.657464047140e+03,7.504713517360e-03,2.000000283470e+04,1.448594308520e+23,4.526500087010e+06
9.005325847580e-11,5.000028056340e-02,9.499623212150e-01,2.867399591810e-05,6.189405334820e-06,1.733649012190e-06,5.673033364260e-07,1.874394622220e-07,4.600745317170e-08,4.212451059380e-10,1.000000000000e+04,5.007880506810e+02,3.862929958430e+03,5.227871916140e+03,6.320142249180e+03,7.172421195490e+03,6.224999770050e+03,5.758515364080e+03,4.657549712610e+03,7.504713517360e-03,2.000000287760e+04,1.448594311630e+23,4.526506213710e+06
9.141405735290e-11,5.000028480590e-02,9.499617520150e-01,2.910710660390e-05,6.282943526190e-06,1.759849751430e-06,5.758769892350e-07,1.902720839980e-07,4.670264625480e-08,4.276216944230e-10,1.000000000000e+04,5.007999529120e+02,3.862977889710e+03,5.227874651500e+03,6.320143329240e+03,7.172414974690e+03,6.224986176080e+03,5.758537085730e+03,4.657636658770e+03,7.504713517360e-03,2.000000292110e+04,1.448594314780e+23,4.526512432290e+06
9.279526821320e-11,5.000028911210e-02,9.499611742760e-01,2.954671392010e-05,6.377885088980e-06,1.786443608010e-06,5.845792805210e-07,1.931472016660e-07,4.740826639430e-08,4.340942706260e-10,1.000000000000e+04,5.008120334920e+02,3.863025227860e+03,5.227877427860e+03,6.320144425510e+03,7.172408660720e+03,6.224972378380e+03,5.758559133150e+03,4.657724904690e+03,7.504713517360e-03,2.000000296530e+04,1.448594317980e+23,4.526518744140e+06
9.419719723640e-11,5.000029348300e-02,9.499605878710e-01,2.999291531520e-05,6.474251082790e-06,1.813436481910e-06,5.934121408800e-07,1.960654528600e-07,4.812446997060e-08,4.406642845990e-10,1.000000000000e+04,5.008242950920e+02,3.863071945690e+03,5.227880245840e+03,6.320145538240e+03,7.172402252180e+03,6.224958373890e+03,5.758581511230e+03,4.657814469740e+03,7.504713517360e-03,2.000000301010e+04,1.448594321230e+23,4.526525150650e+06
9.562015519490e-11,5.000029791950e-02,9.499599926700e-01,3.044580969950e-05,6.572062883380e-06,1.840834361690e-06,6.023775298970e-07,1.990274847890e-07,4.885141570920e-08,4.473332084580e-10,1.000000000000e+04,5.008367404210e+02,3.863118261330e+03,5.227883106070e+03,6.320146667670e+03,7.172395747670e+03,6.224944159540e+03,5.758604224930e+03,4.657905373570e+03,7.504713517360e-03,2.000000305560e+04,1.448594324520e+23,4.526531653250e+06
9.706445752290e-11,5.000030242270e-02,9.499593885400e-01,3.090549746700e-05,6.671342187420e-06,1.868643325850e-06,6.114774365820e-07,2.020339543740e-07,4.958926471580e-08,4.541025367160e-10,1.000000000000e+04,5.008493722290e+02,3.863164104160e+03,5.227886009180e+03,6.320147814070e+03,7.172389145740e+03,6.224929732160e+03,5.758627279270e+03,4.657997636110e+03,7.504713517360e-03,2.000000310180e+04,1.448594327870e+23,4.526538253370e+06
9.853042438570e-11,5.000030699350e-02,9.499587753470e-01,3.137208051720e-05,6.772111017340e-06,1.896869544160e-06,6.207138798150e-07,2.050855283970e-07,5.033818051150e-08,4.609737866320e-10,1.000000000000e+04,5.008621933070e+02,3.863209441260e+03,5.227888955820e+03,6.320148977670e+03,7.172382444940e+03,6.224915088570e+03,5.758650679360e+03,4.658091277610e+03,7.504713517360e-03,2.000000314870e+04,1.448594331260e+23,4.526544952480e+06
