t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,rho,p,n,E
1.567461514820e-05,9.999868958030e-01,2.073752910460e-06,1.199389560850e-07,8.928202795810e-08,1.411674597330e-06,6.712162536230e-09,2.928466416950e-06,4.687967383530e-07,6.005573114540e-06,1.000000000000e+04,1.000000126960e+04,1.000000083030e+04,1.000000053970e+04,1.000000074940e+04,1.000000169340e+04,1.000000049260e+04,1.000000120810e+04,1.000000029410e+04,7.504713517360e-03,3.899948894300e+04,2.824721485550e+23,2.322000081200e+07
1.590973438550e-05,9.999868958040e-01,2.073752843340e-06,1.199389555480e-07,8.928202738300e-08,1.411674547840e-06,6.712162532580e-09,2.928466290000e-06,4.687967296270e-07,6.005572824210e-06,1.000000000000e+04,1.000000136500e+04,1.000000089270e+04,1.000000058020e+04,1.000000080570e+04,1.000000182070e+04,1.000000052970e+04,1.000000129880e+04,1.000000031620e+04,7.504713517360e-03,3.899948894300e+04,2.824721485550e+23,2.322000081200e+07
1.614838041130e-05,9.999868958040e-01,2.073752796660e-06,1.199389551750e-07,8.928202698300e-08,1.411674513420e-06,6.712162530050e-09,2.928466201700e-06,4.687967235570e-07,6.005572622270e-06,1.000000000000e+04,1.000000143130e+04,1.000000093610e+04,1.000000060840e+04,1.000000084490e+04,1.000000190920e+04,1.000000055540e+04,1.000000136200e+04,1.000000033160e+04,7.504713517360e-03,3.899948894310e+04,2.824721485550e+23,2.322000081200e+07
1.639060612740e-05,9.999868958040e-01,2.073752774540e-06,1.199389549980e-07,8.928202679350e-08,1.411674497100e-06,6.712162528850e-09,2.928466159860e-06,4.687967206820e-07,6.005572526590e-06,1.000000000000e+04,1.000000146280e+04,1.000000095660e+04,1.000000062180e+04,1.000000086350e+04,1.000000195110e+04,1.000000056760e+04,1.000000139190e+04,1.000000033890e+04,7.504713517360e-03,3.899948894310e+04,2.824721485550e+23,2.322000081200e+07
1.663646522930e-05,9.999868958040e-01,2.073752781440e-06,1.199389550530e-07,8.928202685270e-08,1.411674502200e-06,6.712162529220e-09,2.928466172910e-06,4.687967215790e-07,6.005572556450e-06,1.000000000000e+04,1.000000145300e+04,1.000000095020e+04,1.000000061760e+04,1.000000085770e+04,1.000000193790e+04,1.000000056380e+04,1.000000138260e+04,1.000000033660e+04,7.504713517360e-03,3.899948894310e+04,2.824721485550e+23,2.322000081200e+07
1.688601221780e-05,9.999868958040e-01,2.073752822170e-06,1.199389553790e-07,8.928202720160e-08,1.411674532230e-06,6.712162531430e-09,2.928466249950e-06,4.687967268740e-07,6.005572732610e-06,1.000000000000e+04,1.000000139510e+04,1.000000091240e+04,1.000000059300e+04,1.000000082350e+04,1.000000186070e+04,1.000000054130e+04,1.000000132750e+04,1.000000032320e+04,7.504713517360e-03,3.899948894300e+04,2.824721485550e+23,2.322000081200e+07
1.713930241100e-05,9.999868958030e-01,2.073752901870e-06,1.199389560160e-07,8.928202788450e-08,1.411674591000e-06,6.712162535760e-09,2.928466400710e-06,4.687967372370e-07,6.005573077410e-06,1.000000000000e+04,1.000000128180e+04,1.000000083830e+04,1.000000054480e+04,1.000000075660e+04,1.000000170950e+04,1.000000049740e+04,1.000000121970e+04,1.000000029700e+04,7.504713517360e-03,3.899948894300e+04,2.824721485550e+23,2.322000081200e+07
1.739639195720e-05,9.999868958020e-01,2.073753026110e-06,1.199389570090e-07,8.928202894900e-08,1.411674682620e-06,6.712162542510e-09,2.928466635710e-06,4.687967533890e-07,6.005573614820e-06,1.000000000000e+04,1.000000110520e+04,1.000000072280e+04,1.000000046980e+04,1.000000065240e+04,1.000000147380e+04,1.000000042880e+04,1.000000105160e+04,1.000000025600e+04,7.504713517360e-03,3.899948894300e+04,2.824721485550e+23,2.322000081190e+07
1.765733784660e-05,9.999868958010e-01,2.073753200830e-06,1.199389584060e-07,8.928203044590e-08,1.411674811460e-06,6.712162552010e-09,2.928466966180e-06,4.687967761050e-07,6.005574370600e-06,1.000000000000e+04,1.000000085680e+04,1.000000056030e+04,1.000000036420e+04,1.000000050570e+04,1.000000114240e+04,1.000000033250e+04,1.000000081530e+04,1.000000019850e+04,7.504713517360e-03,3.899948894290e+04,2.824721485540e+23,2.322000081190e+07
1.792219792430e-05,9.999868957990e-01,2.073753432410e-06,1.199389602580e-07,8.928203243010e-08,1.411674982230e-06,6.712162564590e-09,2.928467404220e-06,4.687968062140e-07,6.005575372360e-06,1.000000000000e+04,1.000000052760e+04,1.000000034500e+04,1.000000022430e+04,1.000000031140e+04,1.000000070320e+04,1.000000020470e+04,1.000000050200e+04,1.000000012220e+04,7.504713517360e-03,3.899948894290e+04,2.824721485540e+23,2.322000081180e+07
1.819103090310e-05,9.999868957980e-01,2.073753528400e-06,1.199389610250e-07,8.928203325250e-08,1.411675053010e-06,6.712162569800e-09,2.928467585770e-06,4.687968186930e-07,6.005575787550e-06,1.000000000000e+04,1.000000039110e+04,1.000000025580e+04,1.000000016630e+04,1.000000023090e+04,1.000000052110e+04,1.000000015180e+04,1.000000037220e+04,1.000000009060e+04,7.504713517360e-03,3.899948894280e+04,2.824721485530e+23,2.322000081180e+07
1.846389637670e-05,9.999868957970e-01,2.073753604300e-06,1.199389616320e-07,8.928203390280e-08,1.411675108990e-06,6.712162573930e-09,2.928467729350e-06,4.687968285610e-07,6.005576115900e-06,1.000000000000e+04,1.000000028320e+04,1.000000018520e+04,1.000000012040e+04,1.000000016720e+04,1.000000037720e+04,1.000000010990e+04,1.000000026950e+04,1.000000006560e+04,7.504713517360e-03,3.899948894280e+04,2.824721485530e+23,2.322000081180e+07
