t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,rho,p,n,E
5.979198811980e-13,5.000000085140e-02,6.899793849240e-03,1.170148623930e-05,1.162616809500e-06,9.925960812470e-03,4.020331828310e-07,1.051914455890e-01,3.330097852940e-04,8.276365229770e-01,1.000000000000e+04,4.000001998380e+03,4.000008575580e+03,4.000086252900e+03,4.000000901480e+03,3.999823759320e+03,4.000000462780e+03,4.000004140660e+03,4.000000366000e+03,9.380891896690e-04,2.500000001090e+03,1.810742629800e+22,6.227993308980e+06
6.168886794160e-13,5.000000087840e-02,6.899794069410e-03,1.170148902000e-05,1.162618463470e-06,9.925960902040e-03,4.020331910040e-07,1.051914457330e-01,3.330098054500e-04,8.276365224710e-01,1.000000000000e+04,4.000002061780e+03,4.000008847640e+03,4.000088989150e+03,4.000000930080e+03,3.999818168410e+03,4.000000477460e+03,4.000004272020e+03,4.000000377610e+03,9.380891896690e-04,2.500000001130e+03,1.810742629830e+22,6.227993315450e+06
6.361420096070e-13,5.000000090580e-02,6.899794292890e-03,1.170149184240e-05,1.162620142260e-06,9.925960992950e-03,4.020331993000e-07,1.051914458790e-01,3.330098259080e-04,8.276365219580e-01,1.000000000000e+04,4.000002126130e+03,4.000009123770e+03,4.000091766440e+03,4.000000959100e+03,3.999812493650e+03,4.000000492360e+03,4.000004405350e+03,4.000000389390e+03,9.380891896690e-04,2.500000001160e+03,1.810742629850e+22,6.227993322020e+06
6.556841397510e-13,5.000000093360e-02,6.899794519720e-03,1.170149470720e-05,1.162621846220e-06,9.925961085230e-03,4.020332077200e-07,1.051914460280e-01,3.330098466740e-04,8.276365214370e-01,1.000000000000e+04,4.000002191440e+03,4.000009404050e+03,4.000094585370e+03,4.000000988570e+03,3.999806733780e+03,4.000000507490e+03,4.000004540680e+03,4.000000401360e+03,9.380891896690e-04,2.500000001200e+03,1.810742629880e+22,6.227993328680e+06
6.755194018480e-13,5.000000096190e-02,6.899794749960e-03,1.170149761490e-05,1.162623575750e-06,9.925961178890e-03,4.020332162670e-07,1.051914461780e-01,3.330098677500e-04,8.276365209090e-01,1.000000000000e+04,4.000002257740e+03,4.000009688530e+03,4.000097446590e+03,4.000001018470e+03,3.999800887530e+03,4.000000522840e+03,4.000004678040e+03,4.000000413500e+03,9.380891896690e-04,2.500000001230e+03,1.810742629900e+22,6.227993335450e+06
6.956521928750e-13,5.000000099060e-02,6.899794983650e-03,1.170150056620e-05,1.162625331220e-06,9.925961273950e-03,4.020332249410e-07,1.051914463310e-01,3.330098891430e-04,8.276365203720e-01,1.000000000000e+04,4.000002325030e+03,4.000009977280e+03,4.000100350720e+03,4.000001048830e+03,3.999794953610e+03,4.000000538420e+03,4.000004817460e+03,4.000000425820e+03,9.380891896690e-04,2.500000001270e+03,1.810742629930e+22,6.227993342310e+06
7.160869757680e-13,5.000000101970e-02,6.899795220840e-03,1.170150356180e-05,1.162627113020e-06,9.925961370440e-03,4.020332337460e-07,1.051914464860e-01,3.330099108570e-04,8.276365198280e-01,1.000000000000e+04,4.000002393320e+03,4.000010270360e+03,4.000103298400e+03,4.000001079640e+03,3.999788930700e+03,4.000000554240e+03,4.000004958970e+03,4.000000438330e+03,9.380891896690e-04,2.500000001310e+03,1.810742629960e+22,6.227993349280e+06
7.368282804050e-13,5.000000104920e-02,6.899795461590e-03,1.170150660230e-05,1.162628921550e-06,9.925961468380e-03,4.020332426830e-07,1.051914466440e-01,3.330099328970e-04,8.276365192750e-01,1.000000000000e+04,4.000002462650e+03,4.000010567840e+03,4.000106290290e+03,4.000001110910e+03,3.999782817470e+03,4.000000570290e+03,4.000005102610e+03,4.000000451030e+03,9.380891896690e-04,2.500000001350e+03,1.810742629980e+22,6.227993356360e+06
7.578807046110e-13,5.000000107920e-02,6.899795705950e-03,1.170150968850e-05,1.162630757200e-06,9.925961567790e-03,4.020332517540e-07,1.051914468040e-01,3.330099552670e-04,8.276365187140e-01,1.000000000000e+04,4.000002533010e+03,4.000010869780e+03,4.000109327050e+03,4.000001142650e+03,3.999776612560e+03,4.000000586580e+03,4.000005248400e+03,4.000000463910e+03,9.380891896690e-04,2.500000001380e+03,1.810742630010e+22,6.227993363540e+06
7.792489151800e-13,5.000000110960e-02,6.899795953980e-03,1.170151282090e-05,1.162632620400e-06,9.925961668690e-03,4.020332609610e-07,1.051914469660e-01,3.330099779730e-04,8.276365181450e-01,1.000000000000e+04,4.000002604430e+03,4.000011176250e+03,4.000112409350e+03,4.000001174860e+03,3.999770314600e+03,4.000000603120e+03,4.000005396380e+03,4.000000476990e+03,9.380891896690e-04,2.500000001420e+03,1.810742630040e+22,6.227993370820e+06
