t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,Th,Tg_1,Tg_2,Tg_3,Tg_4,rho,p,n,E
3.484388364360e-06,6.646949516180e-02,1.747505081910e-01,7.557063152930e-01,2.493516347060e-03,5.801650070570e-04,1.000000000000e+04,6.377642621790e+03,5.620525822990e+03,5.644274642570e+03,8.437512295870e+03,9.380891896690e-04,2.521294589250e+03,1.826166237220e+22,7.381094394800e+06
3.536654199830e-06,6.694171904010e-02,1.764201718200e-01,7.535165596850e-01,2.533164890040e-03,5.883845651110e-04,1.000000000000e+04,6.396284035960e+03,5.646500423770e+03,5.638845734340e+03,8.441281988900e+03,9.380891896690e-04,2.521910512490e+03,1.826612348600e+22,7.399005740260e+06
3.589704022820e-06,6.743043087180e-02,1.781109906200e-01,7.512882557510e-01,2.573571755120e-03,5.967510017890e-04,1.000000000000e+04,6.415065080410e+03,5.672947104820e+03,5.633446012380e+03,8.445002988270e+03,9.380891896690e-04,2.522548257960e+03,1.827074265770e+22,7.417240275130e+06
3.643549593170e-06,6.793633783430e-02,1.798230639490e-01,7.490205777110e-01,2.614753256900e-03,6.052672495320e-04,1.000000000000e+04,6.433989172170e+03,5.699876636440e+03,5.628075975660e+03,8.448675132990e+03,9.380891896690e-04,2.523208782120e+03,1.827552681470e+22,7.435806308720e+06
3.698202847060e-06,6.846018437340e-02,1.815564772200e-01,7.467126762390e-01,2.656725926110e-03,6.139362417730e-04,1.000000000000e+04,6.453059693380e+03,5.727300087130e+03,5.622735938470e+03,8.452298119390e+03,9.380891896690e-04,2.523893093250e+03,1.828048326010e+22,7.454712474080e+06
3.753675899770e-06,6.900275337260e-02,1.833113010900e-01,7.443636779320e-01,2.699506616520e-03,6.227609894010e-04,1.000000000000e+04,6.472280444680e+03,5.755228850980e+03,5.617426385640e+03,8.455871910760e+03,9.380891896690e-04,2.524602253330e+03,1.828561968560e+22,7.473967768290e+06
3.809981048270e-06,6.956486953190e-02,1.850875893600e-01,7.419726842140e-01,2.743112386950e-03,6.317445074010e-04,1.000000000000e+04,6.491655256770e+03,5.783674638540e+03,5.612147663260e+03,8.459396386900e+03,9.380891896690e-04,2.525337382780e+03,1.829094420650e+22,7.493581552260e+06
3.867130773990e-06,7.014740215890e-02,1.868853771260e-01,7.395387704320e-01,2.787560472560e-03,6.408898114780e-04,1.000000000000e+04,6.511188002560e+03,5.812649480310e+03,5.606900089220e+03,8.462871331580e+03,9.380891896690e-04,2.526099664530e+03,1.829646539080e+22,7.513563570210e+06
3.925137745600e-06,7.075126766830e-02,1.887046791060e-01,7.370609850120e-01,2.832868288910e-03,6.501999246970e-04,1.000000000000e+04,6.530882665000e+03,5.842165739400e+03,5.601683951080e+03,8.466296509530e+03,9.380891896690e-04,2.526890347680e+03,1.830219228550e+22,7.533923975290e+06
3.984014821780e-06,7.137743196850e-02,1.905454880090e-01,7.345383486670e-01,2.879053459960e-03,6.596778960480e-04,1.000000000000e+04,6.550743474290e+03,5.872236129670e+03,5.596499494460e+03,8.469671823150e+03,9.380891896690e-04,2.527710751090e+03,1.830813444320e+22,7.554673358760e+06
4.043775054110e-06,7.202691433780e-02,1.924077718820e-01,7.319698532830e-01,2.926133729990e-03,6.693267665420e-04,1.000000000000e+04,6.570774761410e+03,5.902873709200e+03,5.591346962850e+03,8.472997147250e+03,9.380891896690e-04,2.528562268970e+03,1.831430196210e+22,7.575822766560e+06
4.104431689920e-06,7.270079170320e-02,1.942914711540e-01,7.293544607350e-01,2.974126871380e-03,6.791495367330e-04,1.000000000000e+04,6.590980838000e+03,5.934091867970e+03,5.586226433020e+03,8.476272116230e+03,9.380891896690e-04,2.529446377090e+03,1.832070553120e+22,7.597383720950e+06
4.165998175270e-06,7.340020044430e-02,1.961964972370e-01,7.266911023160e-01,3.023050784330e-03,6.891492184580e-04,1.000000000000e+04,6.611366307210e+03,5.965904371650e+03,5.581138120820e+03,8.479496611680e+03,9.380891896690e-04,2.530364635730e+03,1.832735645140e+22,7.619368261020e+06
4.228488157900e-06,7.412634147030e-02,1.981227289380e-01,7.239786774320e-01,3.072923370440e-03,6.993287895730e-04,1.000000000000e+04,6.631935885860e+03,5.998325342190e+03,5.576082215160e+03,8.482670478950e+03,9.380891896690e-04,2.531318697050e+03,1.833426668950e+22,7.641788965080e+06
4.291915490270e-06,7.488048522470e-02,2.000700088060e-01,7.212160523920e-01,3.123762421560e-03,7.096911561970e-04,1.000000000000e+04,6.652694285190e+03,6.031369244080e+03,5.571058691040e+03,8.485793392110e+03,9.380891896690e-04,2.532310312470e+03,1.834144893070e+22,7.664658976200e+06
4.356294232620e-06,7.566397558940e-02,2.020381401770e-01,7.184020594590e-01,3.175585612620e-03,7.202391629530e-04,1.000000000000e+04,6.673646320920e+03,6.065050899790e+03,5.566067467340e+03,8.488864992060e+03,9.380891896690e-04,2.533341338600e+03,1.834891662260e+22,7.687992040370e+06
4.421638656110e-06,7.647823321050e-02,2.040268845430e-01,7.155354960540e-01,3.228410558620e-03,7.309756334990e-04,1.000000000000e+04,6.694797172270e+03,6.099385523480e+03,5.561108783350e+03,8.491885205710e+03,9.380891896690e-04,2.534413742630e+03,1.835668401330e+22,7.711802556400e+06
4.487963245950e-06,7.732476260260e-02,2.060359562530e-01,7.126151232590e-01,3.282254594910e-03,7.419032905640e-04,1.000000000000e+04,6.716152084520e+03,6.134388679440e+03,5.556182763330e+03,8.494853884200e+03,9.380891896690e-04,2.535529612690e+03,1.836476622720e+22,7.736105599610e+06
4.555282704640e-06,7.820515717640e-02,2.080650185270e-01,7.096396647960e-01,3.337134740770e-03,7.530247597710e-04,1.000000000000e+04,6.737716472750e+03,6.170076291420e+03,5.551289566590e+03,8.497770933420e+03,9.380891896690e-04,2.536691165660e+03,1.837317932120e+22,7.760916968010e+06
4.623611955210e-06,7.912111081920e-02,2.101136750880e-01,7.066078045040e-01,3.393067199110e-03,7.643423890820e-04,1.000000000000e+04,6.759495143180e+03,6.206464505230e+03,5.546428606060e+03,8.500635375810e+03,9.380891896690e-04,2.537900763790e+03,1.838194040480e+22,7.786253190330e+06
4.692966144540e-06,8.007441292040e-02,2.121814723940e-01,7.035181880330e-01,3.450068090920e-03,7.758585616520e-04,1.000000000000e+04,6.781493923120e+03,6.243569952310e+03,5.541600187580e+03,8.503447329000e+03,9.380891896690e-04,2.539160909570e+03,1.839106760350e+22,7.812131650160e+06
4.763360646710e-06,8.106696377280e-02,2.142678885090e-01,7.003694195740e-01,3.508152718150e-03,7.875754261600e-04,1.000000000000e+04,6.803718473120e+03,6.281409538090e+03,5.536804314190e+03,8.506206574160e+03,9.380891896690e-04,2.540474267710e+03,1.840058021780e+22,7.838570581100e+06
4.834811066410e-06,8.210077988550e-02,2.163723283480e-01,6.971600612440e-01,3.567335589020e-03,7.994949332910e-04,1.000000000000e+04,6.826174599910e+03,6.320000478590e+03,5.532040997720e+03,8.508912942400e+03,9.380891896690e-04,2.541843673990e+03,1.841049878710e+22,7.865589136120e+06
4.907333242410e-06,8.317800799500e-02,2.184941128950e-01,6.938886306440e-01,3.627629809570e-03,8.116186563540e-04,1.000000000000e+04,6.848867616540e+03,6.359360128820e+03,5.527310065290e+03,8.511565726400e+03,9.380891896690e-04,2.543272155860e+03,1.842084523910e+22,7.893207418660e+06
4.980943251040e-06,8.430092449920e-02,2.206324781490e-01,6.905536017440e-01,3.689047619610e-03,8.239479879440e-04,1.000000000000e+04,6.871803341650e+03,6.399506193620e+03,5.522611467430e+03,8.514164631780e+03,9.380891896690e-04,2.544762933980e+03,1.843164290120e+22,7.921446589240e+06
5.055657409810e-06,8.547194825880e-02,2.227865647900e-01,6.871534030030e-01,3.751599934010e-03,8.364840145470e-04,1.000000000000e+04,6.894987724490e+03,6.440456609000e+03,5.517945164200e+03,8.516709441710e+03,9.380891896690e-04,2.546319441790e+03,1.844291664130e+22,7.950328917300e+06
5.131492280950e-06,8.669365219960e-02,2.249554084080e-01,6.836864159540e-01,3.815296005080e-03,8.492274336850e-04,1.000000000000e+04,6.918426671190e+03,6.482229465350e+03,5.513311071770e+03,8.519199873000e+03,9.380891896690e-04,2.547945343730e+03,1.845469300110e+22,7.979877846220e+06
5.208464675170e-06,8.796877983190e-02,2.271379263560e-01,6.801509726800e-01,3.880142730620e-03,8.621784018250e-04,1.000000000000e+04,6.942125665890e+03,6.524842791230e+03,5.508709275660e+03,8.521635297980e+03,9.380891896690e-04,2.549644560500e+03,1.846700037810e+22,8.010118061440e+06
