t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,rho,p,n,E
1.412324811580e-05,5.902110757760e-01,4.661558584130e-02,1.994742645650e-03,8.094565124580e-03,2.045573397870e-04,1.724769603500e-02,5.449410544390e-03,3.164599905320e-01,1.372237616160e-02,1.000000000000e+04,8.954967040830e+03,5.342823002270e+03,6.331145285640e+03,3.020112784630e+03,7.501700332680e+03,7.129741596420e+03,9.344703122960e+03,8.407901613230e+03,9.380891896690e-04,3.457964462790e+03,2.504593464950e+22,1.459600445920e+07
1.433509684760e-05,6.095195966290e-01,4.442793928300e-02,1.901315807880e-03,7.714911798750e-03,1.949700286990e-04,1.643925299970e-02,5.194282860680e-03,3.015279933440e-01,1.307973724810e-02,1.000000000000e+04,8.955522758440e+03,5.342765610990e+03,6.331257288400e+03,3.020097223510e+03,7.502029561230e+03,7.129688320930e+03,9.345656221370e+03,8.408008651740e+03,9.380891896690e-04,3.505982528180e+03,2.539372808140e+22,1.488849388580e+07
1.455012331030e-05,6.287765322810e-01,4.224263803570e-02,1.807915384990e-03,7.335577794020e-03,1.853881447550e-04,1.563128455390e-02,4.939185271630e-03,2.866442281670e-01,1.243725036690e-02,1.000000000000e+04,8.955901894010e+03,5.342727286050e+03,6.331334071740e+03,3.020088579700e+03,7.502254282670e+03,7.129652273470e+03,9.346306503030e+03,8.408081715320e+03,9.380891896690e-04,3.555219200050e+03,2.575034784400e+22,1.518830857200e+07
1.476837516990e-05,6.479149860780e-01,4.006840857290e-02,1.714938192070e-03,6.958106217360e-03,1.758515356860e-04,1.482714385590e-02,4.685215184680e-03,2.718576955440e-01,1.179765481870e-02,1.000000000000e+04,8.956153549870e+03,5.342702664270e+03,6.331385533540e+03,3.020084931070e+03,7.502403711130e+03,7.129628656490e+03,9.346738000050e+03,8.408130290260e+03,9.380891896690e-04,3.605542513820e+03,2.611483812200e+22,1.549467299650e+07
1.498990080750e-05,6.668680711030e-01,3.791367806920e-02,1.622762041180e-03,6.583980949260e-03,1.663983057840e-04,1.403004047880e-02,4.433414464370e-03,2.572180981860e-01,1.116355640220e-02,1.000000000000e+04,8.956315784860e+03,5.342687854510e+03,6.331419253320e+03,3.020085210070e+03,7.502500268540e+03,7.129613835390e+03,9.347016065260e+03,8.408161721310e+03,9.380891896690e-04,3.656802372160e+03,2.648611176460e+22,1.580669431320e+07
1.521474932960e-05,6.855699019990e-01,3.578653957430e-02,1.531745799090e-03,6.214622100390e-03,1.570647916470e-04,1.324303544090e-02,4.184770655820e-03,2.427748906700e-01,1.053742896850e-02,1.000000000000e+04,8.956418366400e+03,5.342679687070e+03,6.331441247100e+03,3.020088420610e+03,7.502561686310e+03,7.129604907190e+03,9.347191656300e+03,8.408181725770e+03,9.380891896690e-04,3.708831688670e+03,2.686295857000e+22,1.612337102190e+07
1.544297057960e-05,7.039562018980e-01,3.369467986530e-02,1.442226271380e-03,5.851374054050e-03,1.478852438200e-04,1.246901502310e-02,3.940208344960e-03,2.285768166830e-01,9.921592616520e-03,1.000000000000e+04,8.956480921600e+03,5.342676210830e+03,6.331455355260e+03,3.020094031050e+03,7.502599287470e+03,7.129600050510e+03,9.347298735390e+03,8.408194093450e+03,9.380891896690e-04,3.761446956610e+03,2.724404940430e+22,1.644359615060e+07
1.567461514820e-05,7.219653395680e-01,3.164535359730e-02,1.354519033990e-03,5.495502609240e-03,1.388918352670e-04,1.171069065750e-02,3.700592547260e-03,2.146708899070e-01,9.318220243980e-03,1.000000000000e+04,8.956517385860e+03,5.342675879360e+03,6.331464465090e+03,3.020101514300e+03,7.502621613930e+03,7.129597902820e+03,9.347360937050e+03,8.408201550830e+03,9.380891896690e-04,3.814450539510e+03,2.762795279260e+22,1.676617342290e+07
1.590973438550e-05,7.395392738680e-01,2.964533336870e-02,1.268917453710e-03,5.148187985360e-03,1.301145147750e-04,1.097058712680e-02,3.466726764270e-03,2.011015273750e-01,8.729331543940e-03,1.000000000000e+04,8.956537830380e+03,5.342677780520e+03,6.331470625850e+03,3.020110872920e+03,7.502634553920e+03,7.129597501880e+03,9.347395583620e+03,8.408205983210e+03,9.380891896690e-04,3.867633397000e+03,2.801315466130e+22,1.708983523100e+07
1.614838041130e-05,7.566242662850e-01,2.770084618130e-02,1.185690442900e-03,4.810514442410e-03,1.215807820500e-04,1.025102137710e-02,3.239346913680e-03,1.879099565230e-01,8.156777053140e-03,1.000000000000e+04,8.956549159250e+03,5.342681029430e+03,6.331475202850e+03,3.020121430050e+03,7.502642314520e+03,7.129598238290e+03,9.347414468980e+03,8.408208835140e+03,9.380891896690e-04,3.920777821060e+03,2.839807815790e+22,1.741325971010e+07
1.639060612740e-05,7.731713966700e-01,2.581751533370e-02,1.105079784320e-03,4.483459424940e-03,1.133153689230e-04,9.554079887190e-03,3.019114335560e-03,1.751338181280e-01,7.602221067320e-03,1.000000000000e+04,8.956555569150e+03,5.342685520700e+03,6.331479198610e+03,3.020134131020e+03,7.502647376420e+03,7.129599637110e+03,9.347424698370e+03,8.408210748350e+03,9.380891896690e-04,3.973660205480e+03,2.878110370910e+22,1.773508764700e+07
1.663646522930e-05,7.891372292380e-01,2.400032130460e-02,1.027299410360e-03,4.167889890730e-03,1.053401857460e-04,8.881611123570e-03,2.806613904320e-03,1.628065594710e-01,7.067135472080e-03,1.000000000000e+04,8.956558030280e+03,5.342691384800e+03,6.331482284640e+03,3.020148253700e+03,7.502648948200e+03,7.129601975030e+03,9.347429421280e+03,8.408212065140e+03,9.380891896690e-04,4.026054907060e+03,2.916059698780e+22,1.805394682200e+07
1.688601221780e-05,8.044842757860e-01,2.225353849190e-02,9.525325798600e-04,3.864545378010e-03,9.767396513210e-05,8.235194806120e-03,2.602346505980e-03,1.509571114810e-01,6.552781005610e-03,1.000000000000e+04,8.956562636360e+03,5.342697424520e+03,6.331487473690e+03,3.020166990330e+03,7.502656061730e+03,7.129603921130e+03,9.347433430300e+03,8.408214216420e+03,9.380891896690e-04,4.077738085130e+03,2.953493672270e+22,1.836847543410e+07
1.713930241100e-05,8.191812981450e-01,2.058073356270e-02,8.809313023530e-04,3.574051191060e-03,9.033255115220e-05,7.616155774660e-03,2.406727618060e-03,1.396095633670e-01,6.060206488430e-03,1.000000000000e+04,8.956557098530e+03,5.342706650220e+03,6.331488173500e+03,3.020179899340e+03,7.502644883880e+03,7.129607831140e+03,9.347432133890e+03,8.408212654250e+03,9.380891896690e-04,4.128491522320e+03,2.990254237190e+22,1.867734542790e+07
1.739639195720e-05,8.332034972780e-01,1.898473102460e-02,8.126176313360e-04,3.296891814900e-03,8.332802330170e-05,7.025535618990e-03,2.220090231750e-03,1.287830617100e-01,5.590246667450e-03,1.000000000000e+04,8.956556357150e+03,5.342715065360e+03,6.331492346190e+03,3.020203421520e+03,7.502647283730e+03,7.129611095320e+03,9.347430980480e+03,8.408213184350e+03,9.380891896690e-04,4.178106455260e+03,3.026190186830e+22,1.897928673600e+07
1.765733784660e-05,8.465326919290e-01,1.746759988660e-02,7.476809268950e-04,3.033426547480e-03,7.666968889840e-05,6.464103523660e-03,2.042678851290e-03,1.184916340210e-01,5.143514625070e-03,1.000000000000e+04,8.956564729640e+03,5.342723518240e+03,6.331501223590e+03,3.020231058560e+03,7.502663011530e+03,7.129614148360e+03,9.347434653630e+03,8.408217879640e+03,9.380891896690e-04,4.226387662560e+03,3.061160122930e+22,1.927311161200e+07
1.792219792430e-05,8.591570659770e-01,1.603069794280e-02,6.861776047810e-04,2.783898241930e-03,7.036355746600e-05,5.932363950360e-03,1.874647885120e-03,1.087443793620e-01,4.720405478360e-03,1.000000000000e+04,8.956564271720e+03,5.342735095970e+03,6.331505735730e+03,3.020257230820e+03,7.502661341970e+03,7.129618928550e+03,9.347435017170e+03,8.408219385800e+03,9.380891896690e-04,4.273156150260e+03,3.095034400680e+22,1.955773048730e+07
1.819103090310e-05,8.710709436060e-01,1.467466594860e-02,6.281355500610e-04,2.548411560690e-03,6.441227664390e-05,5.430547945940e-03,1.716073258110e-03,9.954570147610e-02,4.321108377490e-03,1.000000000000e+04,8.956565016870e+03,5.342747487610e+03,6.331512553830e+03,3.020288682090e+03,7.502665104160e+03,7.129623533080e+03,9.347435173980e+03,8.408220828960e+03,9.380891896690e-04,4.318251862140e+03,3.127697091830e+22,1.983216929730e+07
