t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,rho,p,n,E
6.255911589810e-08,5.027644039790e-02,2.036803851660e-03,9.386434210800e-05,1.894511895810e-04,1.568315237450e-05,4.026782863440e-04,1.992279127900e-04,9.462608126790e-01,5.250381885480e-04,1.000000000000e+04,5.761310077480e+03,5.671357807560e+03,5.983001973990e+03,3.602869773560e+03,7.374578982690e+03,6.207047774910e+03,1.128882121930e+03,5.968086430140e+03,7.504713517360e-03,2.000283568810e+04,1.448799491260e+23,4.799729697430e+06
6.349751263660e-08,5.028178615730e-02,2.067698283680e-03,9.522268340380e-05,1.924609410860e-04,1.587240937430e-05,4.089557572040e-04,2.022399374120e-04,9.462027137370e-01,5.330500934440e-04,1.000000000000e+04,5.763519480570e+03,5.668292553400e+03,5.985023821380e+03,3.595154132910e+03,7.377215597710e+03,6.207801452930e+03,1.136790494630e+03,5.970390958110e+03,7.504713517360e-03,2.000289053210e+04,1.448803463600e+23,4.803676229140e+06
6.444998532610e-08,5.028724743020e-02,2.099069784480e-03,9.660029325710e-05,1.955212980040e-04,1.606362273990e-05,4.153347247270e-04,2.052980027000e-04,9.461436785050e-01,5.411863384090e-04,1.000000000000e+04,5.765757683540e+03,5.665204244540e+03,5.987064199090e+03,3.587442660490e+03,7.379880302140e+03,6.208568998170e+03,1.144791980700e+03,5.972726229330e+03,7.504713517360e-03,2.000294656150e+04,1.448807521790e+23,4.807677767350e+06
6.541674510600e-08,5.029282700660e-02,2.130926085860e-03,9.799744318660e-05,1.986331911790e-04,1.625681136010e-05,4.218169539990e-04,2.084028352900e-04,9.460836907450e-01,5.494489272250e-04,1.000000000000e+04,5.768025019180e+03,5.662093100540e+03,5.989123136850e+03,3.579736781600e+03,7.382573137340e+03,6.209350638120e+03,1.152887639620e+03,5.975092633840e+03,7.504713517360e-03,2.000300380500e+04,1.448811667920e+23,4.811735027160e+06
6.639800628260e-08,5.029852775130e-02,2.163275061640e-03,9.941440888130e-05,2.017975707120e-04,1.645199452870e-05,4.284042452770e-04,2.115551743360e-04,9.460227338950e-01,5.578398988410e-04,1.000000000000e+04,5.770321820990e+03,5.658959355160e+03,5.991200661270e+03,3.572037929780e+03,7.385294133370e+03,6.210146603100e+03,1.161078545930e+03,5.977490566160e+03,7.504713517360e-03,2.000306229190e+04,1.448815904110e+23,4.815848735450e+06
6.739398637680e-08,5.030435260640e-02,2.196124731030e-03,1.008514702900e-04,2.050154064260e-04,1.664919196420e-05,4.350984348450e-04,2.147557717700e-04,9.459607910590e-01,5.663613280910e-04,1.000000000000e+04,5.772648422990e+03,5.655803256920e+03,5.993296795680e+03,3.564347544250e+03,7.388043308350e+03,6.210957126010e+03,1.169365790520e+03,5.979920425450e+03,7.504713517360e-03,2.000312205250e+04,1.448820232550e+23,4.820019633590e+06
6.840490617250e-08,5.031030459360e-02,2.229483262170e-03,1.023089117130e-04,2.082876883460e-04,1.684842383190e-05,4.419013958800e-04,2.180053925640e-04,9.458978450050e-01,5.750153264290e-04,1.000000000000e+04,5.775005159530e+03,5.652625069660e+03,5.995411560120e+03,3.556667066990e+03,7.390820667780e+03,6.211782442200e+03,1.177750482030e+03,5.982382615620e+03,7.504713517360e-03,2.000318311770e+04,1.448824655490e+23,4.824248472670e+06
6.943098976510e-08,5.031638681640e-02,2.263358973950e-03,1.037870218510e-04,2.116154255890e-04,1.704971049630e-05,4.488150410740e-04,2.213048155280e-04,9.458338781510e-01,5.838040440310e-04,1.000000000000e+04,5.777392357690e+03,5.649425051410e+03,5.997544974910e+03,3.548998083590e+03,7.393626214810e+03,6.212622805000e+03,1.186233664000e+03,5.984877538140e+03,7.504713517360e-03,2.000324551960e+04,1.448829175230e+23,4.828535975610e+06
7.047246461160e-08,5.032260246260e-02,2.297760342330e-03,1.052860939690e-04,2.149996490940e-04,1.725307291670e-05,4.558413211950e-04,2.246548328630e-04,9.457688725560e-01,5.927296687150e-04,1.000000000000e+04,5.779810347290e+03,5.646203485070e+03,5.999697055450e+03,3.541342121410e+03,7.396459934350e+03,6.213478463710e+03,1.194816432920e+03,5.987405602280e+03,7.504713517360e-03,2.000330929070e+04,1.448833794160e+23,4.832882889780e+06
7.152956158070e-08,5.032895480730e-02,2.332696005030e-03,1.068064260170e-04,2.184414127980e-04,1.745853278010e-05,4.629822253620e-04,2.280562502270e-04,9.457028099140e-01,6.017944261940e-04,1.000000000000e+04,5.782259463720e+03,5.642960687800e+03,6.001867810660e+03,3.533700588040e+03,7.399321787950e+03,6.214349656870e+03,1.203499974000e+03,5.989967228130e+03,7.504713517360e-03,2.000337446470e+04,1.448838514690e+23,4.837290003230e+06
