t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,X_O2_9,X_O2_10,X_O2_11,X_O2_12,X_O2_13,X_O2_14,X_O2_15,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,Tg_9,Tg_10,Tg_11,Tg_12,Tg_13,Tg_14,Tg_15,rho,p,n,E
5.107440859180e-12,5.000001590230e-02,9.499899173480e-01,8.887604466580e-06,7.083517757770e-07,2.708055356180e-07,1.085477086110e-07,4.954770937820e-08,2.349201284750e-08,1.117644421640e-08,5.199805675750e-09,1.510160387590e-09,4.049238862540e-10,8.899520074530e-11,1.713240090100e-11,2.662550494250e-12,2.709279272650e-13,1.000000000000e+04,5.000319307000e+02,1.084772420850e+03,4.356721939190e+03,5.173678114520e+03,6.284379485700e+03,6.279532531020e+03,6.997880225570e+03,5.902550791690e+03,5.510268027020e+03,6.357728361750e+03,5.498040267010e+03,3.707862865340e+03,1.243675392610e+04,4.384384825090e+03,3.463650976480e+03,7.504713517360e-03,2.000000016310e+04,1.448594115020e+23,4.526117910750e+06
5.194052472060e-12,5.000001617200e-02,9.499898473710e-01,8.937315747060e-06,7.203637808320e-07,2.753978663170e-07,1.103884674340e-07,5.038794292400e-08,2.389039181840e-08,1.136597480510e-08,5.287983569530e-09,1.535769537720e-09,4.117906272200e-10,9.050442754030e-11,1.742295675950e-11,2.707711724720e-12,2.755251893300e-13,1.000000000000e+04,5.000324721660e+02,1.091483340390e+03,4.356726105040e+03,5.173678262050e+03,6.284379520710e+03,6.279532663190e+03,6.997880118980e+03,5.902551126670e+03,5.510266353630e+03,6.357729478940e+03,5.498041419970e+03,3.707865318090e+03,1.243672742330e+04,4.384393090820e+03,3.463676393090e+03,7.504713517360e-03,2.000000016590e+04,1.448594115220e+23,4.526118306590e+06
5.281963259150e-12,5.000001644570e-02,9.499897763450e-01,8.987772692420e-06,7.325559679420e-07,2.800590830090e-07,1.122568381410e-07,5.124078021520e-08,2.429474658040e-08,1.155834839570e-08,5.377484130620e-09,1.561762823750e-09,4.187603717330e-10,9.203629453580e-11,1.771787183840e-11,2.753550711500e-12,2.801915087980e-13,1.000000000000e+04,5.000330217540e+02,1.098231445790e+03,4.356730209490e+03,5.173678411650e+03,6.284379556170e+03,6.279532797380e+03,6.997880010830e+03,5.902551466700e+03,5.510264655170e+03,6.357730612950e+03,5.498042590360e+03,3.707867807660e+03,1.243670052230e+04,4.384401480230e+03,3.463702188360e+03,7.504713517360e-03,2.000000016870e+04,1.448594115430e+23,4.526118708370e+06
5.371192708030e-12,5.000001672360e-02,9.499897042530e-01,9.038986487470e-06,7.449310399020e-07,2.847902190160e-07,1.141532349250e-07,5.210641031510e-08,2.470516677370e-08,1.175360763440e-08,5.468327199020e-09,1.588146007680e-09,4.258346649170e-10,9.359114138900e-11,1.801721155270e-11,2.800077631160e-12,2.849279245070e-13,1.000000000000e+04,5.000335795850e+02,1.105016668920e+03,4.356734262530e+03,5.173678563340e+03,6.284379592100e+03,6.279532933620e+03,6.997879901100e+03,5.902551811850e+03,5.510262931250e+03,6.357731764020e+03,5.498043778430e+03,3.707870334620e+03,1.243667321720e+04,4.384409995170e+03,3.463728367940e+03,7.504713517360e-03,2.000000017150e+04,1.448594115630e+23,4.526119116180e+06
5.461760598650e-12,5.000001700560e-02,9.499896310800e-01,9.090968484800e-06,7.574917400530e-07,2.895923231610e-07,1.160780781920e-07,5.298502512350e-08,2.512174338310e-08,1.195179580740e-08,5.560532912290e-09,1.614924937940e-09,4.330150750810e-10,9.516931285400e-11,1.832104229940e-11,2.847302813240e-12,2.897354909700e-13,1.000000000000e+04,5.000341457830e+02,1.111838589720e+03,4.356738230010e+03,5.173678717150e+03,6.284379628490e+03,6.279533071940e+03,6.997879789770e+03,5.902552162200e+03,5.510261181510e+03,6.357732932430e+03,5.498044984470e+03,3.707872899520e+03,1.243664550180e+04,4.384418637520e+03,3.463754937570e+03,7.504713517360e-03,2.000000017440e+04,1.448594115840e+23,4.526119530100e+06
5.553687007630e-12,5.000001729180e-02,9.499895568090e-01,9.143730207280e-06,7.702408528860e-07,2.944664599990e-07,1.180317946570e-07,5.387681941890e-08,2.554456875820e-08,1.215295685000e-08,5.654121710080e-09,1.642105550680e-09,4.403031940560e-10,9.677115885790e-11,1.862943147230e-11,2.895236742530e-12,2.946152786070e-13,1.000000000000e+04,5.000347204740e+02,1.118697248830e+03,4.356742135770e+03,5.173678873120e+03,6.284379665370e+03,6.279533212380e+03,6.997879676810e+03,5.902552517830e+03,5.510259405540e+03,6.357734118420e+03,5.498046208730e+03,3.707875502940e+03,1.243661737000e+04,4.384427409190e+03,3.463781903100e+03,7.504713517360e-03,2.000000017740e+04,1.448594116050e+23,4.526119950230e+06
5.646992312750e-12,5.000001758230e-02,9.499894814250e-01,9.197283350610e-06,7.831812046630e-07,2.994137100550e-07,1.200148174340e-07,5.478199090160e-08,2.597373663410e-08,1.235713535670e-08,5.749114338620e-09,1.669693871090e-09,4.477006375560e-10,9.839703457840e-11,1.894244747710e-11,2.943890061410e-12,2.995683739930e-13,1.000000000000e+04,5.000353037840e+02,1.125592541990e+03,4.356745985190e+03,5.173679031270e+03,6.284379702730e+03,6.279533354950e+03,6.997879562200e+03,5.902552878820e+03,5.510257602960e+03,6.357735322270e+03,5.498047451480e+03,3.707878145440e+03,1.243658881570e+04,4.384436312120e+03,3.463809270450e+03,7.504713517360e-03,2.000000018030e+04,1.448594116270e+23,4.526120376660e+06
5.741697197440e-12,5.000001787720e-02,9.499894049090e-01,9.251639785920e-06,7.963156640440e-07,3.044351700630e-07,1.220275861340e-07,5.570074023760e-08,2.640934215180e-08,1.256437659080e-08,5.845531855340e-09,1.697696014740e-09,4.552090455310e-10,1.000473005230e-10,1.926015974630e-11,2.993273572260e-12,3.045958800990e-13,1.000000000000e+04,5.000358958440e+02,1.132524384790e+03,4.356749785690e+03,5.173679191630e+03,6.284379740580e+03,6.279533499710e+03,6.997879445920e+03,5.902553245260e+03,5.510255773380e+03,6.357736544240e+03,5.498048713020e+03,3.707880827620e+03,1.243655983240e+04,4.384445348280e+03,3.463837045650e+03,7.504713517360e-03,2.000000018340e+04,1.448594116490e+23,4.526120809500e+06
5.837822655400e-12,5.000001817650e-02,9.499893272460e-01,9.306811562420e-06,8.096471427170e-07,3.095319532090e-07,1.240705469650e-07,5.663327110340e-08,2.685148187990e-08,1.277472649500e-08,5.943395633540e-09,1.726118188930e-09,4.628300825360e-10,1.017223226070e-10,1.958263875490e-11,3.043398239820e-12,3.096989165410e-13,1.000000000000e+04,5.000364967840e+02,1.139492591160e+03,4.356753536250e+03,5.173679354240e+03,6.284379778930e+03,6.279533646660e+03,6.997879327940e+03,5.902553617210e+03,5.510253916380e+03,6.357737784600e+03,5.498049993620e+03,3.707883550070e+03,1.243653041370e+04,4.384454519660e+03,3.463865234790e+03,7.504713517360e-03,2.000000018640e+04,1.448594116710e+23,4.526121248820e+06
5.935389995230e-12,5.000001848030e-02,9.499892484180e-01,9.362810910030e-06,8.231785960500e-07,3.147051893780e-07,1.261441528250e-07,5.757979023050e-08,2.730025383530e-08,1.298823170070e-08,6.042727367090e-09,1.754966694090e-09,4.705654380920e-10,1.034224722390e-10,1.990995603590e-11,3.094275193670e-12,3.148786198340e-13,1.000000000000e+04,5.000371067380e+02,1.146496817160e+03,4.356757222580e+03,5.173679519130e+03,6.284379817790e+03,6.279533795860e+03,6.997879208230e+03,5.902553994770e+03,5.510252031560e+03,6.357739043630e+03,5.498051293560e+03,3.707886313400e+03,1.243650055320e+04,4.384463828290e+03,3.463893844050e+03,7.504713517360e-03,2.000000018950e+04,1.448594116940e+23,4.526121694730e+06
6.034420845160e-12,5.000001878870e-02,9.499891684070e-01,9.419650242120e-06,8.369130237460e-07,3.199560254040e-07,1.282488634110e-07,5.854050745210e-08,2.775575750540e-08,1.320493953910e-08,6.143549075290e-09,1.784247925110e-09,4.784168270690e-10,1.051481263990e-10,2.024218419640e-11,3.145915730720e-12,3.201361436490e-13,1.000000000000e+04,5.000377258400e+02,1.153537035950e+03,4.356760857830e+03,5.173679686330e+03,6.284379857150e+03,6.279533947330e+03,6.997879086780e+03,5.902554378020e+03,5.510250118490e+03,6.357740321620e+03,5.498052613140e+03,3.707889118210e+03,1.243647024410e+04,4.384473276230e+03,3.463922879720e+03,7.504713517360e-03,2.000000019270e+04,1.448594117170e+23,4.526122147330e+06
6.134937157840e-12,5.000001910170e-02,9.499890871960e-01,9.477342158270e-06,8.508534705030e-07,3.252856253250e-07,1.303851453110e-07,5.951563574880e-08,2.821809387000e-08,1.342489805130e-08,6.245883107720e-09,1.813968372840e-09,4.863859900630e-10,1.068996677240e-10,2.057939693350e-11,3.198331317680e-12,3.254726590730e-13,1.000000000000e+04,5.000383542290e+02,1.160613093940e+03,4.356764444450e+03,5.173679855880e+03,6.284379897030e+03,6.279534101110e+03,6.997878963550e+03,5.902554767050e+03,5.510248176770e+03,6.357741618840e+03,5.498053952650e+03,3.707891965140e+03,1.243643947980e+04,4.384482865570e+03,3.463952348210e+03,7.504713517360e-03,2.000000019590e+04,1.448594117400e+23,4.526122606720e+06
6.236961215200e-12,5.000001941930e-02,9.499890047670e-01,9.535899447010e-06,8.650030266930e-07,3.306951706410e-07,1.325534721150e-07,6.050539129640e-08,2.868736542380e-08,1.364815599920e-08,6.349752149210e-09,1.844134625480e-09,4.944746937810e-10,1.086774845930e-10,2.092166905070e-11,3.251533593680e-12,3.308893548740e-13,1.000000000000e+04,5.000389920420e+02,1.167724833650e+03,4.356767984850e+03,5.173680027800e+03,6.284379937440e+03,6.279534257230e+03,6.997878838510e+03,5.902555161930e+03,5.510246205950e+03,6.357742935580e+03,5.498055312390e+03,3.707894854800e+03,1.243640825350e+04,4.384492598420e+03,3.463982255970e+03,7.504713517360e-03,2.000000019920e+04,1.448594117630e+23,4.526123073010e+06
6.340515633430e-12,5.000001974180e-02,9.499889211020e-01,9.595335088740e-06,8.793648290470e-07,3.361858605750e-07,1.347543245180e-07,6.150999351360e-08,2.916367619900e-08,1.387476287600e-08,6.455179224850e-09,1.874753370050e-09,5.026847314320e-10,1.104819712130e-10,2.126907647470e-11,3.305534372840e-12,3.363874377670e-13,1.000000000000e+04,5.000396394230e+02,1.174871948960e+03,4.356771473940e+03,5.173680202140e+03,6.284379978380e+03,6.279534415720e+03,6.997878711650e+03,5.902555562770e+03,5.510244205610e+03,6.357744272150e+03,5.498056692660e+03,3.707897787850e+03,1.243637655810e+04,4.384502476940e+03,3.464012609580e+03,7.504713517360e-03,2.000000020250e+04,1.448594117870e+23,4.526123546280e+06
6.445623367930e-12,5.000002006910e-02,9.499888361810e-01,9.655662258510e-06,8.939420613500e-07,3.417589123410e-07,1.369881904240e-07,6.252966511050e-08,2.964713178840e-08,1.410476891750e-08,6.562187705130e-09,1.905831393870e-09,5.110179231270e-10,1.123135277050e-10,2.162169627220e-11,3.360345646890e-12,3.419681326900e-13,1.000000000000e+04,5.000402965130e+02,1.182054289910e+03,4.356774914790e+03,5.173680378920e+03,6.284380019860e+03,6.279534576620e+03,6.997878582930e+03,5.902555969650e+03,5.510242175300e+03,6.357745628840e+03,5.498058093780e+03,3.707900764930e+03,1.243634438680e+04,4.384512503310e+03,3.464043415720e+03,7.504713517360e-03,2.000000020580e+04,1.448594118120e+23,4.526124026660e+06
6.552307718450e-12,5.000002040120e-02,9.499887499870e-01,9.716894329030e-06,9.087379551450e-07,3.474155614120e-07,1.392555650590e-07,6.356463213840e-08,3.013783936890e-08,1.433822511300e-08,6.670801311050e-09,1.937375586080e-09,5.194761162850e-10,1.141725601950e-10,2.197960666700e-11,3.415979587880e-12,3.476326830830e-13,1.000000000000e+04,5.000409634590e+02,1.189271636100e+03,4.356778306930e+03,5.173680558180e+03,6.284380061890e+03,6.279534739970e+03,6.997878452330e+03,5.902556382670e+03,5.510240114570e+03,6.357747005940e+03,5.498059516060e+03,3.707903786700e+03,1.243631173230e+04,4.384522679740e+03,3.464074681150e+03,7.504713517360e-03,2.000000020920e+04,1.448594118360e+23,4.526124514240e+06
6.660592334230e-12,5.000002073840e-02,9.499886625000e-01,9.779044873560e-06,9.237557904540e-07,3.531570617930e-07,1.415569510740e-07,6.461512403960e-08,3.063590772490e-08,1.457518321680e-08,6.781044119470e-09,1.969392939130e-09,5.280611860340e-10,1.160594809040e-10,2.234288705750e-11,3.472448550890e-12,3.533823511610e-13,1.000000000000e+04,5.000416404090e+02,1.196523753000e+03,4.356781649210e+03,5.173680739960e+03,6.284380104470e+03,6.279534905810e+03,6.997878319820e+03,5.902556801900e+03,5.510238022960e+03,6.357748403770e+03,5.498060959800e+03,3.707906853840e+03,1.243627858730e+04,4.384533008480e+03,3.464106412740e+03,7.504713517360e-03,2.000000021270e+04,1.448594118610e+23,4.526125009130e+06
6.770501219240e-12,5.000002108060e-02,9.499885737010e-01,9.842127668980e-06,9.389988964990e-07,3.589846863020e-07,1.438928586650e-07,6.568137369840e-08,3.114144727320e-08,1.481569575950e-08,6.892940568380e-09,2.001890550390e-09,5.367750356360e-10,1.179747082370e-10,2.271161803410e-11,3.529765076760e-12,3.592184182090e-13,1.000000000000e+04,5.000423275120e+02,1.203810441930e+03,4.356784946480e+03,5.173680924290e+03,6.284380147610e+03,6.279535074160e+03,6.997878185360e+03,5.902557227450e+03,5.510235900020e+03,6.357749822640e+03,5.498062425350e+03,3.707909967020e+03,1.243624494470e+04,4.384543491820e+03,3.464138617480e+03,7.504713517360e-03,2.000000021620e+04,1.448594118870e+23,4.526125511450e+06
6.882058737530e-12,5.000002142800e-02,9.499884835690e-01,9.906156698800e-06,9.544706524470e-07,3.648997268510e-07,1.462638056790e-07,6.676361749260e-08,3.165457008670e-08,1.505981605960e-08,7.006515462340e-09,2.034875623670e-09,5.456195969050e-10,1.199186668800e-10,2.308588139740e-11,3.587941894930e-12,3.651421848660e-13,1.000000000000e+04,5.000430249210e+02,1.211131443180e+03,4.356788196750e+03,5.173681111210e+03,6.284380191320e+03,6.279535245070e+03,6.997878048940e+03,5.902557659420e+03,5.510233745280e+03,6.357751262870e+03,5.498063913010e+03,3.707913126930e+03,1.243621079680e+04,4.384554132080e+03,3.464171302450e+03,7.504713517360e-03,2.000000021980e+04,1.448594119130e+23,4.526126021300e+06
6.995289618590e-12,5.000002178060e-02,9.499883920860e-01,9.971146156260e-06,9.701744881540e-07,3.709034947320e-07,1.486703177300e-07,6.786209534600e-08,3.217538991950e-08,1.530759823570e-08,7.121793977970e-09,2.068355470820e-09,5.545968306330e-10,1.218917878900e-10,2.346576017610e-11,3.646991926260e-12,3.711549714210e-13,1.000000000000e+04,5.000437327910e+02,1.218486504470e+03,4.356791400280e+03,5.173681300760e+03,6.284380235610e+03,6.279535418570e+03,6.997877910520e+03,5.902558097890e+03,5.510231558260e+03,6.357752724770e+03,5.498065423130e+03,3.707916334280e+03,1.243617613620e+04,4.384564931600e+03,3.464204474820e+03,7.504713517360e-03,2.000000022340e+04,1.448594119390e+23,4.526126538800e+06
7.110218962870e-12,5.000002213840e-02,9.499882992300e-01,1.003711044750e-05,9.861138849270e-07,3.769973209060e-07,1.511129283220e-07,6.897705078170e-08,3.270402223220e-08,1.555909721810e-08,7.238801669570e-09,2.102337513400e-09,5.637087270320e-10,1.238945087930e-10,2.385133864610e-11,3.706928285920e-12,3.772581181140e-13,1.000000000000e+04,5.000444512780e+02,1.225875368600e+03,4.356794557440e+03,5.173681492980e+03,6.284380280490e+03,6.279535594710e+03,6.997877770070e+03,5.902558542970e+03,5.510229338470e+03,6.357754208670e+03,5.498066956050e+03,3.707919589780e+03,1.243614095510e+04,4.384575892780e+03,3.464238141900e+03,7.504713517360e-03,2.000000022710e+04,1.448594119650e+23,4.526127064070e+06
7.226872247320e-12,5.000002250170e-02,9.499882049820e-01,1.010406419480e-05,1.002292376300e-06,3.831825563030e-07,1.535921789560e-07,7.010873097620e-08,3.324058421770e-08,1.581436876110e-08,7.357564474710e-09,2.136829284270e-09,5.729573061660e-10,1.259272736800e-10,2.424270234810e-11,3.767764286320e-12,3.834529854350e-13,1.000000000000e+04,5.000451805410e+02,1.233297787840e+03,4.356797668040e+03,5.173681687890e+03,6.284380325960e+03,6.279535773520e+03,6.997877627560e+03,5.902558994760e+03,5.510227085430e+03,6.357755714910e+03,5.498068512100e+03,3.707922894150e+03,1.243610524570e+04,4.384587018030e+03,3.464272311090e+03,7.504713517360e-03,2.000000023080e+04,1.448594119920e+23,4.526127597210e+06
7.345275331030e-12,5.000002287040e-02,9.499881093190e-01,1.017202223970e-05,1.018713548800e-06,3.894605721160e-07,1.561086192620e-07,7.125738681360e-08,3.378519482680e-08,1.607346945530e-08,7.478108720040e-09,2.171838429280e-09,5.823446184080e-10,1.279905333070e-10,2.463993810790e-11,3.829513440090e-12,3.897409544390e-13,1.000000000000e+04,5.000459207430e+02,1.240753486770e+03,4.356800733740e+03,5.173681885550e+03,6.284380372030e+03,6.279535955040e+03,6.997877482970e+03,5.902559453360e+03,5.510224798630e+03,6.357757243810e+03,5.498070091630e+03,3.707926248110e+03,1.243606900020e+04,4.384598309820e+03,3.464306989900e+03,7.504713517360e-03,2.000000023460e+04,1.448594120200e+23,4.526128138350e+06
7.465454460990e-12,5.000002324460e-02,9.499880122220e-01,1.024099964630e-05,1.035381042770e-06,3.958327601100e-07,1.586628071120e-07,7.242327294200e-08,3.433797479450e-08,1.633645674050e-08,7.600461127130e-09,2.207372708970e-09,5.918727448870e-10,1.300847451940e-10,2.504313405470e-11,3.892189463080e-12,3.961234270530e-13,1.000000000000e+04,5.000466720470e+02,1.248242198870e+03,4.356803756300e+03,5.173682085990e+03,6.284380418710e+03,6.279536139320e+03,6.997877336250e+03,5.902559918860e+03,5.510222477580e+03,6.357758795730e+03,5.498071694990e+03,3.707929652430e+03,1.243603221040e+04,4.384609770640e+03,3.464342185970e+03,7.504713517360e-03,2.000000023840e+04,1.448594120480e+23,4.526128687600e+06
7.587436277910e-12,5.000002362440e-02,9.499879136690e-01,1.031101170490e-05,1.052298553170e-06,4.023005329270e-07,1.612553087460e-07,7.360664782950e-08,3.489904666750e-08,1.660338891790e-08,7.724648818340e-09,2.243440000290e-09,6.015437979560e-10,1.322103737280e-10,2.545237964130e-11,3.955806277470e-12,4.026018263960e-13,1.000000000000e+04,5.000474346200e+02,1.255763660230e+03,4.356806738350e+03,5.173682289250e+03,6.284380466010e+03,6.279536326390e+03,6.997877187380e+03,5.902560391380e+03,5.510220121760e+03,6.357760371000e+03,5.498073322550e+03,3.707933107840e+03,1.243599486830e+04,4.384621403030e+03,3.464377907020e+03,7.504713517360e-03,2.000000024230e+04,1.448594120760e+23,4.526129245090e+06
7.711247822080e-12,5.000002400990e-02,9.499878136370e-01,1.038207393470e-05,1.069469830370e-06,4.088653243990e-07,1.638866989030e-07,7.480777382160e-08,3.546853483040e-08,1.687432516340e-08,7.850699322870e-09,2.280048298340e-09,6.113599216560e-10,1.343678902630e-10,2.586776566390e-11,4.020378014830e-12,4.091775971030e-13,1.000000000000e+04,5.000482086300e+02,1.263317613800e+03,4.356809683670e+03,5.173682495380e+03,6.284380513930e+03,6.279536516290e+03,6.997877036330e+03,5.902560871010e+03,5.510217730650e+03,6.357761969970e+03,5.498074974660e+03,3.707936615120e+03,1.243595696560e+04,4.384633209550e+03,3.464414160930e+03,7.504713517360e-03,2.000000024630e+04,1.448594121040e+23,4.526129810950e+06
