t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,X_O2_9,X_O2_10,X_O2_11,X_O2_12,X_O2_13,X_O2_14,X_O2_15,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,Tg_9,Tg_10,Tg_11,Tg_12,Tg_13,Tg_14,Tg_15,rho,p,n,E
1.350630215090e-05,6.608051188220e-01,6.350463631040e-02,8.791240394430e-02,7.096253723980e-02,5.094387775370e-02,3.160092416960e-02,1.836472876510e-02,9.576354750480e-03,4.324213011360e-03,1.428172781010e-03,3.668475127710e-04,1.381852877880e-04,4.865249006290e-05,1.723733727600e-05,4.991875754520e-06,1.117948477710e-06,1.000000000000e+04,9.603433860490e+03,9.425854447460e+03,9.196453188670e+03,8.869870219360e+03,8.445732879830e+03,7.845476904140e+03,6.992823299780e+03,5.848917674100e+03,3.405092272780e+03,9.506565081860e+03,8.160102769410e+03,7.140066697190e+03,7.141025222830e+03,7.322452777650e+03,6.696229290630e+03,9.380891896690e-04,3.640246889020e+03,2.636620088830e+22,1.570367858510e+07
1.370889669310e-05,6.798413199510e-01,5.993732485460e-02,8.297627172170e-02,6.698012752140e-02,4.808627603820e-02,2.982905049520e-02,1.733530730810e-02,9.039640984570e-03,4.081865705740e-03,1.348126291130e-03,3.462851797780e-04,1.304398508660e-04,4.592550229980e-05,1.627120489280e-05,4.712096574910e-06,1.055293721940e-06,1.000000000000e+04,9.603801579160e+03,9.426255950690e+03,9.196835430150e+03,8.870190367290e+03,8.445956093710e+03,7.845596054010e+03,6.992858450140e+03,5.848906557270e+03,3.405081692770e+03,9.506573392930e+03,8.160106836900e+03,7.140075676190e+03,7.141039279110e+03,7.322467355970e+03,6.696243366490e+03,9.380891896690e-04,3.692737906190e+03,2.674639177800e+22,1.602328431800e+07
1.391453015350e-05,6.985701658340e-01,5.642914574780e-02,7.812091347120e-02,6.306195433320e-02,4.527413972050e-02,2.808503600620e-02,1.632193592310e-02,8.511257823430e-03,3.843277287030e-03,1.269324114660e-03,3.260432639630e-04,1.228150894110e-04,4.324099081960e-05,1.532011235700e-05,4.436669472240e-06,9.936128520230e-07,1.000000000000e+04,9.604028480350e+03,9.426502749170e+03,9.197067716450e+03,8.870383050540e+03,8.446089222330e+03,7.845666754470e+03,6.992879421770e+03,5.848900434050e+03,3.405075711960e+03,9.506575022660e+03,8.160110473570e+03,7.140084553120e+03,7.141053913610e+03,7.322486107010e+03,6.696271967320e+03,9.380891896690e-04,3.745880009830e+03,2.713129846780e+22,1.634682574400e+07
1.412324811580e-05,7.169269747850e-01,5.299158681170e-02,7.336266222060e-02,5.922157806390e-02,4.251745503040e-02,2.637520758370e-02,1.532834558910e-02,7.993165883980e-03,3.609334283280e-03,1.192058148240e-03,3.061963190430e-04,1.153391068660e-04,4.060885572430e-05,1.438757108070e-05,4.166612821200e-06,9.331343037890e-07,1.000000000000e+04,9.604163504520e+03,9.426650108840e+03,9.197207792980e+03,8.870500520930e+03,8.446171571520e+03,7.845711306020e+03,6.992893381670e+03,5.848897426070e+03,3.405072909750e+03,9.506577374610e+03,8.160114674620e+03,7.140092874730e+03,7.141066146630e+03,7.322500242610e+03,6.696289323660e+03,9.380891896690e-04,3.799471974080e+03,2.751946348480e+22,1.667308834630e+07
1.433509684760e-05,7.348505343800e-01,4.963569903420e-02,6.871709373660e-02,5.547181996720e-02,3.982559540240e-02,2.470546919300e-02,1.435800383410e-02,7.487183330430e-03,3.380858350580e-03,1.116598987890e-03,2.868136834920e-04,1.080380208630e-04,3.803829531220e-05,1.347684236870e-05,3.902871918260e-06,8.740699666780e-07,1.000000000000e+04,9.604240975930e+03,9.426735057870e+03,9.197289620840e+03,8.870569977440e+03,8.446220925290e+03,7.845738461670e+03,6.992902393550e+03,5.848896505220e+03,3.405072643910e+03,9.506578729790e+03,8.160119664890e+03,7.140101307370e+03,7.141077301000e+03,7.322511817190e+03,6.696298172980e+03,9.380891896690e-04,3.853299655480e+03,2.790933579410e+22,1.700077559960e+07
1.455012331030e-05,7.522839020990e-01,4.637188607430e-02,6.419878369600e-02,5.182460208230e-02,3.720722638040e-02,2.308125269590e-02,1.341409036640e-02,6.994974537310e-03,3.158601347150e-03,1.043194559850e-03,2.679588245150e-04,1.009357598540e-04,3.553773705910e-05,1.259091383660e-05,3.646312652440e-06,8.166138002850e-07,1.000000000000e+04,9.604284115820e+03,9.426781863170e+03,9.197333443590e+03,8.870605935490e+03,8.446245293390e+03,7.845751196550e+03,6.992906462090e+03,5.848896755520e+03,3.405079045580e+03,9.506585581650e+03,8.160124232810e+03,7.140108627170e+03,7.141084802810e+03,7.322522201070e+03,6.696330006370e+03,9.380891896690e-04,3.907138818040e+03,2.829929126110e+22,1.732852700590e+07
1.476837516990e-05,7.691751025760e-01,4.320973206020e-02,5.982109992960e-02,4.829080404080e-02,3.467021841890e-02,2.150747199350e-02,1.249947391360e-02,6.518039092560e-03,2.943240927480e-03,9.720678387190e-04,2.496893156830e-04,9.405395832630e-05,3.311479478990e-05,1.173248266890e-05,3.397715882960e-06,7.609408137540e-07,1.000000000000e+04,9.604307860160e+03,9.426808027710e+03,9.197358989290e+03,8.870628135300e+03,8.446261763090e+03,7.845761080940e+03,6.992910924850e+03,5.848898521030e+03,3.405080817510e+03,9.506586339000e+03,8.160130122060e+03,7.140118690140e+03,7.141097997170e+03,7.322536535900e+03,6.696344292900e+03,9.380891896690e-04,3.960758358240e+03,2.868765600990e+22,1.765493836780e+07
1.498990080750e-05,7.854781463620e-01,4.015777243970e-02,5.559590992750e-02,4.488005061170e-02,3.222151161150e-02,1.998844807310e-02,1.161667205660e-02,6.057691483650e-03,2.735370500850e-03,9.034151548480e-04,2.320552412080e-04,8.741152549520e-05,3.077613052760e-05,1.090391058180e-05,3.157766155970e-06,7.072043173120e-07,1.000000000000e+04,9.604320521200e+03,9.426821897950e+03,9.197372174480e+03,8.870639245770e+03,8.446269737050e+03,7.845765883060e+03,6.992913496500e+03,5.848900519980e+03,3.405085984320e+03,9.506587869320e+03,8.160136718440e+03,7.140129362460e+03,7.141110864840e+03,7.322551319680e+03,6.696365390640e+03,9.380891896690e-04,4.013925303520e+03,2.907274262700e+22,1.797859278730e+07
1.521474932960e-05,8.011531087660e-01,3.722343408510e-02,5.153352751010e-02,4.160069605500e-02,2.986712314860e-02,1.852792394210e-02,1.076786435850e-02,5.615069520160e-03,2.535504106710e-03,8.374060491820e-04,2.151002174910e-04,8.102487922510e-05,2.852752345470e-05,1.010724503060e-05,2.927056354890e-06,6.555371010180e-07,1.000000000000e+04,9.604326913050e+03,9.426828934620e+03,9.197378988540e+03,8.870645180240e+03,8.446274280720e+03,7.845769046250e+03,6.992915876100e+03,5.848903280850e+03,3.405092035160e+03,9.506590424620e+03,8.160144098410e+03,7.140141260990e+03,7.141125056690e+03,7.322567695450e+03,6.696390624670e+03,9.380891896690e-04,4.066407508450e+03,2.945286968990e+22,1.829807796800e+07
1.544297057960e-05,8.161664671100e-01,3.441296751870e-02,4.764262301440e-02,3.845975465290e-02,2.761209913500e-02,1.712903532310e-02,9.954875398470e-03,5.191125239580e-03,2.344071609720e-03,7.741824282190e-04,1.988606855190e-04,7.490774637090e-05,2.637380679850e-05,9.344198548240e-06,2.706082470910e-06,6.060502551500e-07,1.000000000000e+04,9.604330133480e+03,9.426832521460e+03,9.197382528280e+03,8.870648385640e+03,8.446276951830e+03,7.845771290630e+03,6.992918165170e+03,5.848906499330e+03,3.405099166240e+03,9.506593220060e+03,8.160152462350e+03,7.140154717060e+03,7.141141030850e+03,7.322586143890e+03,6.696419067720e+03,9.380891896690e-04,4.117977624860e+03,2.982639052260e+22,1.861201040270e+07
1.567461514820e-05,8.304912049050e-01,3.173141795310e-02,4.393018954440e-02,3.546287903350e-02,2.546050285100e-02,1.579430547550e-02,9.179172675690e-03,4.786624174870e-03,2.161418715330e-03,7.138584478030e-04,1.833659608850e-04,6.907116926990e-05,2.431886838840e-05,8.616148610880e-06,2.495243431140e-06,5.588331218180e-07,1.000000000000e+04,9.604331858790e+03,9.426834488700e+03,9.197384545710e+03,8.870650349400e+03,8.446278817240e+03,7.845773216040e+03,6.992920579580e+03,5.848910220280e+03,3.405107303400e+03,9.506596312930e+03,8.160161974520e+03,7.140169983940e+03,7.141159139400e+03,7.322607036830e+03,6.696451208680e+03,9.380891896690e-04,4.168416706610e+03,3.019171930450e+22,1.891905749640e+07
