t,X_O,X_O2,Th,Tv,rho,p,n,E
1.011377395610e-12,5.000001691690e-02,9.499999830830e-01,1.000000000000e+04,4.000003291050e+03,9.380891896690e-04,2.500000021690e+03,1.810742644720e+22,7.676758299280e+06
1.036548056540e-12,5.000001733790e-02,9.499999826620e-01,1.000000000000e+04,4.000003372950e+03,9.380891896690e-04,2.500000022230e+03,1.810742645110e+22,7.676758322990e+06
1.062096277390e-12,5.000001776520e-02,9.499999822350e-01,1.000000000000e+04,4.000003456090e+03,9.380891896690e-04,2.500000022780e+03,1.810742645510e+22,7.676758347060e+06
1.088027721550e-12,5.000001819890e-02,9.499999818010e-01,1.000000000000e+04,4.000003540470e+03,9.380891896690e-04,2.500000023330e+03,1.810742645910e+22,7.676758371480e+06
1.114348137370e-12,5.000001863920e-02,9.499999813610e-01,1.000000000000e+04,4.000003626110e+03,9.380891896690e-04,2.500000023900e+03,1.810742646320e+22,7.676758396270e+06
1.141063359430e-12,5.000001908610e-02,9.499999809140e-01,1.000000000000e+04,4.000003713050e+03,9.380891896690e-04,2.500000024470e+03,1.810742646730e+22,7.676758421440e+06
1.168179309830e-12,5.000001953960e-02,9.499999804600e-01,1.000000000000e+04,4.000003801280e+03,9.380891896690e-04,2.500000025050e+03,1.810742647150e+22,7.676758446980e+06
1.195701999470e-12,5.000002000000e-02,9.499999800000e-01,1.000000000000e+04,4.000003890840e+03,9.380891896690e-04,2.500000025640e+03,1.810742647580e+22,7.676758472900e+06
1.223637529460e-12,5.000002046720e-02,9.499999795330e-01,1.000000000000e+04,4.000003981740e+03,9.380891896690e-04,2.500000026240e+03,1.810742648020e+22,7.676758499220e+06
1.251992092410e-12,5.000002094150e-02,9.499999790580e-01,1.000000000000e+04,4.000004074010e+03,9.380891896690e-04,2.500000026850e+03,1.810742648460e+22,7.676758525920e+06
1.280771973790e-12,5.000002142290e-02,9.499999785770e-01,1.000000000000e+04,4.000004167660e+03,9.380891896690e-04,2.500000027470e+03,1.810742648900e+22,7.676758553030e+06
1.309983553400e-12,5.000002191150e-02,9.499999780880e-01,1.000000000000e+04,4.000004262720e+03,9.380891896690e-04,2.500000028090e+03,1.810742649360e+22,7.676758580550e+06
1.339633306700e-12,5.000002240740e-02,9.499999775930e-01,1.000000000000e+04,4.000004359200e+03,9.380891896690e-04,2.500000028730e+03,1.810742649820e+22,7.676758608480e+06
1.369727806300e-12,5.000002291080e-02,9.499999770890e-01,1.000000000000e+04,4.000004457130e+03,9.380891896690e-04,2.500000029370e+03,1.810742650280e+22,7.676758636820e+06
1.400273723400e-12,5.000002342170e-02,9.499999765780e-01,1.000000000000e+04,4.000004556520e+03,9.380891896690e-04,2.500000030030e+03,1.810742650760e+22,7.676758665600e+06
1.431277829250e-12,5.000002394030e-02,9.499999760600e-01,1.000000000000e+04,4.000004657410e+03,9.380891896690e-04,2.500000030690e+03,1.810742651240e+22,7.676758694800e+06
1.462746996690e-12,5.000002446670e-02,9.499999755330e-01,1.000000000000e+04,4.000004759810e+03,9.380891896690e-04,2.500000031370e+03,1.810742651730e+22,7.676758724440e+06
1.494688201640e-12,5.000002500100e-02,9.499999749990e-01,1.000000000000e+04,4.000004863750e+03,9.380891896690e-04,2.500000032050e+03,1.810742652230e+22,7.676758754530e+06
1.527108524660e-12,5.000002554330e-02,9.499999744570e-01,1.000000000000e+04,4.000004969250e+03,9.380891896690e-04,2.500000032750e+03,1.810742652730e+22,7.676758785070e+06
1.560015152530e-12,5.000002609370e-02,9.499999739060e-01,1.000000000000e+04,4.000005076320e+03,9.380891896690e-04,2.500000033450e+03,1.810742653240e+22,7.676758816060e+06
1.593415379820e-12,5.000002665230e-02,9.499999733480e-01,1.000000000000e+04,4.000005185010e+03,9.380891896690e-04,2.500000034170e+03,1.810742653760e+22,7.676758847520e+06
1.627316610510e-12,5.000002721940e-02,9.499999727810e-01,1.000000000000e+04,4.000005295330e+03,9.380891896690e-04,2.500000034900e+03,1.810742654290e+22,7.676758879450e+06
1.661726359670e-12,5.000002779490e-02,9.499999722050e-01,1.000000000000e+04,4.000005407300e+03,9.380891896690e-04,2.500000035630e+03,1.810742654820e+22,7.676758911870e+06
1.696652255070e-12,5.000002837910e-02,9.499999716210e-01,1.000000000000e+04,4.000005520940e+03,9.380891896690e-04,2.500000036380e+03,1.810742655360e+22,7.676758944760e+06
1.732102038890e-12,5.000002897210e-02,9.499999710280e-01,1.000000000000e+04,4.000005636300e+03,9.380891896690e-04,2.500000037140e+03,1.810742655910e+22,7.676758978160e+06
1.768083569480e-12,5.000002957390e-02,9.499999704260e-01,1.000000000000e+04,4.000005753380e+03,9.380891896690e-04,2.500000037920e+03,1.810742656470e+22,7.676759012050e+06
1.804604823020e-12,5.000003018480e-02,9.499999698150e-01,1.000000000000e+04,4.000005872220e+03,9.380891896690e-04,2.500000038700e+03,1.810742657040e+22,7.676759046450e+06
1.841673895360e-12,5.000003080480e-02,9.499999691950e-01,1.000000000000e+04,4.000005992850e+03,9.380891896690e-04,2.500000039490e+03,1.810742657610e+22,7.676759081370e+06
1.879299003800e-12,5.000003143420e-02,9.499999685660e-01,1.000000000000e+04,4.000006115280e+03,9.380891896690e-04,2.500000040300e+03,1.810742658200e+22,7.676759116810e+06
1.917488488850e-12,5.000003207300e-02,9.499999679270e-01,1.000000000000e+04,4.000006239550e+03,9.380891896690e-04,2.500000041120e+03,1.810742658790e+22,7.676759152780e+06
1.956250816180e-12,5.000003272130e-02,9.499999672790e-01,1.000000000000e+04,4.000006365680e+03,9.380891896690e-04,2.500000041950e+03,1.810742659390e+22,7.676759189290e+06
1.995594578430e-12,5.000003337940e-02,9.499999666210e-01,1.000000000000e+04,4.000006493710e+03,9.380891896690e-04,2.500000042790e+03,1.810742660010e+22,7.676759226350e+06
2.035528497100e-12,5.000003404740e-02,9.499999659530e-01,1.000000000000e+04,4.000006623660e+03,9.380891896690e-04,2.500000043650e+03,1.810742660630e+22,7.676759263960e+06
2.076061424560e-12,5.000003472530e-02,9.499999652750e-01,1.000000000000e+04,4.000006755550e+03,9.380891896690e-04,2.500000044520e+03,1.810742661260e+22,7.676759302140e+06
