t,X_O,X_O2,Th,Tv,rho,p,n,E
2.564126973970e-12,5.000034311280e-02,9.499996568870e-01,1.000000000000e+04,5.004338992540e+02,7.504713517360e-03,2.000000351910e+04,1.448594358100e+23,6.930942483950e+06
2.612588878580e-12,5.000034959770e-02,9.499996504020e-01,1.000000000000e+04,5.004420903390e+02,7.504713517360e-03,2.000000358560e+04,1.448594362910e+23,6.930943010700e+06
2.661777711760e-12,5.000035617980e-02,9.499996438200e-01,1.000000000000e+04,5.004504039280e+02,7.504713517360e-03,2.000000365310e+04,1.448594367800e+23,6.930943545350e+06
2.711704377440e-12,5.000036286060e-02,9.499996371390e-01,1.000000000000e+04,5.004588418460e+02,7.504713517360e-03,2.000000372160e+04,1.448594372770e+23,6.930944088010e+06
2.762379943100e-12,5.000036964170e-02,9.499996303580e-01,1.000000000000e+04,5.004674059460e+02,7.504713517360e-03,2.000000379120e+04,1.448594377800e+23,6.930944638800e+06
2.813815642250e-12,5.000037652450e-02,9.499996234760e-01,1.000000000000e+04,5.004760981110e+02,7.504713517360e-03,2.000000386180e+04,1.448594382920e+23,6.930945197850e+06
2.866022876880e-12,5.000038351050e-02,9.499996164890e-01,1.000000000000e+04,5.004849202490e+02,7.504713517360e-03,2.000000393340e+04,1.448594388110e+23,6.930945765260e+06
2.919013220030e-12,5.000039060130e-02,9.499996093990e-01,1.000000000000e+04,5.004938742970e+02,7.504713517360e-03,2.000000400620e+04,1.448594393370e+23,6.930946341180e+06
2.972798418330e-12,5.000039779850e-02,9.499996022020e-01,1.000000000000e+04,5.005029622210e+02,7.504713517360e-03,2.000000408000e+04,1.448594398720e+23,6.930946925730e+06
3.027390394610e-12,5.000040510360e-02,9.499995948960e-01,1.000000000000e+04,5.005121860150e+02,7.504713517360e-03,2.000000415490e+04,1.448594404150e+23,6.930947519040e+06
3.082801250530e-12,5.000041251830e-02,9.499995874820e-01,1.000000000000e+04,5.005215477060e+02,7.504713517360e-03,2.000000423100e+04,1.448594409660e+23,6.930948121240e+06
3.139043269290e-12,5.000042004430e-02,9.499995799560e-01,1.000000000000e+04,5.005310493470e+02,7.504713517360e-03,2.000000430810e+04,1.448594415250e+23,6.930948732450e+06
3.196128918320e-12,5.000042768310e-02,9.499995723170e-01,1.000000000000e+04,5.005406930220e+02,7.504713517360e-03,2.000000438650e+04,1.448594420920e+23,6.930949352830e+06
3.254070852100e-12,5.000043543650e-02,9.499995645630e-01,1.000000000000e+04,5.005504808490e+02,7.504713517360e-03,2.000000446600e+04,1.448594426680e+23,6.930949982490e+06
3.312881914880e-12,5.000044330620e-02,9.499995566940e-01,1.000000000000e+04,5.005604150750e+02,7.504713517360e-03,2.000000454670e+04,1.448594432530e+23,6.930950621600e+06
3.372575143600e-12,5.000045129400e-02,9.499995487060e-01,1.000000000000e+04,5.005704981520e+02,7.504713517360e-03,2.000000462870e+04,1.448594438460e+23,6.930951270300e+06
3.433163770760e-12,5.000045940150e-02,9.499995405980e-01,1.000000000000e+04,5.005807319300e+02,7.504713517360e-03,2.000000471180e+04,1.448594444480e+23,6.930951928720e+06
3.494661227320e-12,5.000046763070e-02,9.499995323690e-01,1.000000000000e+04,5.005911186520e+02,7.504713517360e-03,2.000000479620e+04,1.448594450600e+23,6.930952597000e+06
3.557081145730e-12,5.000047598340e-02,9.499995240170e-01,1.000000000000e+04,5.006016605950e+02,7.504713517360e-03,2.000000488190e+04,1.448594456800e+23,6.930953275300e+06
3.620437362920e-12,5.000048446130e-02,9.499995155390e-01,1.000000000000e+04,5.006123600710e+02,7.504713517360e-03,2.000000496880e+04,1.448594463100e+23,6.930953963750e+06
3.684743923360e-12,5.000049306640e-02,9.499995069340e-01,1.000000000000e+04,5.006232194240e+02,7.504713517360e-03,2.000000505710e+04,1.448594469490e+23,6.930954662520e+06
3.750015082210e-12,5.000050180050e-02,9.499994981990e-01,1.000000000000e+04,5.006342410340e+02,7.504713517360e-03,2.000000514670e+04,1.448594475980e+23,6.930955371750e+06
