t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,X_O2_9,X_O2_10,X_O2_11,X_O2_12,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,Tg_9,Tg_10,Tg_11,Tg_12,rho,p,n,E
2.583757994150e-13,5.000000071150e-02,2.189137614430e-08,2.427516627740e-11,4.374817782500e-12,3.455889568080e-13,3.463585413220e-09,2.720916675430e-10,1.060129133790e-09,4.029292988260e-08,9.393783863920e-01,1.049359476630e-02,1.263051901710e-04,1.645930607730e-06,1.000000000000e+04,4.563164696840e+03,3.325870459290e+03,4.463520075590e+03,-2.843971680330e+11,5.460073950000e+03,5.148044202220e+03,5.922452207370e+03,1.930198070830e+03,5.000026775940e+02,5.000221696020e+02,5.004833926970e+02,5.170018905360e+02,7.504713517360e-03,2.000000000730e+04,1.448594103740e+23,4.526076506690e+06
2.722514364070e-13,5.000000074970e-02,2.306701390790e-08,2.557882356410e-11,4.609762582620e-12,3.641482413700e-13,3.649591487420e-09,2.867038994210e-10,1.117061601550e-09,4.121535095570e-08,9.393783787020e-01,1.049359836060e-02,1.263063310520e-04,1.646490707880e-06,1.000000000000e+04,4.563164467570e+03,3.325870428590e+03,4.463520956840e+03,-2.843971680260e+11,5.460073988450e+03,5.148044265080e+03,5.922452256090e+03,1.973242613790e+03,5.000028213900e+02,5.000233601750e+02,5.005093478560e+02,5.179087969050e+02,7.504713517360e-03,2.000000000770e+04,1.448594103760e+23,4.526076564850e+06
2.863352079530e-13,5.000000078850e-02,2.426028627280e-08,2.690203574970e-11,4.848231824260e-12,3.829859164390e-13,3.838387658860e-09,3.015353155390e-10,1.174848058280e-09,4.215160837330e-08,9.393783708960e-01,1.049360200890e-02,1.263074890460e-04,1.647059209530e-06,1.000000000000e+04,4.563164137470e+03,3.325870397430e+03,4.463521851720e+03,-2.843971680190e+11,5.460074025640e+03,5.148044328880e+03,5.922452305560e+03,2.015386086260e+03,5.000029673420e+02,5.000245686060e+02,5.005356918610e+02,5.188286701940e+02,7.504713517360e-03,2.000000000810e+04,1.448594103790e+23,4.526076623880e+06
3.006302360720e-13,5.000000082790e-02,2.547145775920e-08,2.824509615880e-11,5.090278382250e-12,4.021061579120e-13,4.030015779210e-09,3.165892036840e-10,1.233501313900e-09,4.310190968120e-08,9.393783629720e-01,1.049360571190e-02,1.263086644100e-04,1.647636238730e-06,1.000000000000e+04,4.563163904400e+03,3.325870365790e+03,4.463522760390e+03,-2.843971680120e+11,5.460074065150e+03,5.148044393620e+03,5.922452355780e+03,2.056668516160e+03,5.000031154840e+02,5.000257951630e+02,5.005624305280e+02,5.197616863470e+02,7.504713517360e-03,2.000000000850e+04,1.448594103820e+23,4.526076683800e+06
3.151396896130e-13,5.000000086790e-02,2.670079685480e-08,2.960830251610e-11,5.335955924810e-12,4.215132043240e-13,4.224518327900e-09,3.318689009580e-10,1.293034370420e-09,4.406646553860e-08,9.393783549300e-01,1.049360947040e-02,1.263098574040e-04,1.648221923380e-06,1.000000000000e+04,4.563163974310e+03,3.325870333660e+03,4.463523682980e+03,-2.843971680060e+11,5.460074110690e+03,5.148044459310e+03,5.922452406760e+03,2.097127572590e+03,5.000032658480e+02,5.000270401170e+02,5.005895697630e+02,5.207080234190e+02,7.504713517360e-03,2.000000000890e+04,1.448594103850e+23,4.526076744620e+06
3.298667849570e-13,5.000000090840e-02,2.794857607510e-08,3.099195701200e-11,5.585318925410e-12,4.412113577890e-13,4.421938421580e-09,3.473777945250e-10,1.353460424950e-09,4.504548976460e-08,9.393783467680e-01,1.049361328530e-02,1.263110682930e-04,1.648816393310e-06,1.000000000000e+04,4.563164121720e+03,3.325870301030e+03,4.463524619760e+03,-2.843971680000e+11,5.460074158220e+03,5.148044525990e+03,5.922452458520e+03,2.136797780920e+03,5.000034184670e+02,5.000283037450e+02,5.006171155590e+02,5.216678615900e+02,7.504713517360e-03,2.000000000930e+04,1.448594103880e+23,4.526076806350e+06
3.448147867320e-13,5.000000094960e-02,2.921507202300e-08,3.239636637000e-11,5.838422674910e-12,4.612049849550e-13,4.622319823640e-09,3.631193223530e-10,1.414792872510e-09,4.603919938570e-08,9.393783384830e-01,1.049361715750e-02,1.263122973460e-04,1.649419780310e-06,1.000000000000e+04,4.563164151930e+03,3.325870267920e+03,4.463525571000e+03,-2.843971679940e+11,5.460074204270e+03,5.148044593650e+03,5.922452511060e+03,2.175710244240e+03,5.000035733760e+02,5.000295863260e+02,5.006450739980e+02,5.226413831810e+02,7.504713517360e-03,2.000000000970e+04,1.448594103910e+23,4.526076869010e+06
3.599870085330e-13,5.000000099140e-02,3.050056545080e-08,3.382184191430e-11,6.095323293800e-12,4.814985179690e-13,4.825706953930e-09,3.790969739830e-10,1.477045309060e-09,4.704781468370e-08,9.393783300730e-01,1.049362108770e-02,1.263135448340e-04,1.650032218130e-06,1.000000000000e+04,4.563163974210e+03,3.325870234330e+03,4.463526536930e+03,-2.843971679880e+11,5.460074247210e+03,5.148044662320e+03,5.922452564420e+03,2.213893310110e+03,5.000037306080e+02,5.000308881450e+02,5.006734512540e+02,5.236287726750e+02,7.504713517360e-03,2.000000001020e+04,1.448594103940e+23,4.526076932600e+06
3.753868136610e-13,5.000000103380e-02,3.180534132170e-08,3.526869963920e-11,6.356077744630e-12,5.020964554660e-13,5.032144898610e-09,3.953142912990e-10,1.540231534520e-09,4.807155924460e-08,9.393783215380e-01,1.049362507690e-02,1.263148110350e-04,1.650653842530e-06,1.000000000000e+04,4.563163545560e+03,3.325870200250e+03,4.463527517790e+03,-2.843971679820e+11,5.460074286300e+03,5.148044732020e+03,5.922452618580e+03,2.251372843280e+03,5.000038901990e+02,5.000322094900e+02,5.007022535910e+02,5.246302167260e+02,7.504713517360e-03,2.000000001060e+04,1.448594103980e+23,4.526076997150e+06
3.910176158650e-13,5.000000107680e-02,3.312968887380e-08,3.673726027870e-11,6.620743844720e-12,5.230033635560e-13,5.241679420140e-09,4.117748693130e-10,1.604365555770e-09,4.911066000840e-08,9.393783128740e-01,1.049362912590e-02,1.263160962290e-04,1.651284791310e-06,1.000000000000e+04,4.563163100730e+03,3.325870165660e+03,4.463528513710e+03,-2.843971679760e+11,5.460074325750e+03,5.148044802760e+03,5.922452673580e+03,2.288172747470e+03,5.000040521840e+02,5.000335506540e+02,5.007314873700e+02,5.256459041840e+02,7.504713517360e-03,2.000000001100e+04,1.448594104010e+23,4.526077062670e+06
