t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,rho,p,n,E
1.070272166830e-13,5.000000015240e-02,4.241378510090e-03,3.520253004700e-04,7.158346158310e-06,7.799424937070e-01,1.588305049960e-01,6.619280865990e-03,1.444719773720e-06,5.713401966030e-06,1.000000000000e+04,4.000000395400e+03,4.000001144690e+03,4.000001458160e+03,4.000000053990e+03,4.000000092700e+03,4.000000241590e+03,4.000013921290e+03,4.000007994380e+03,9.380891896690e-04,2.500000000200e+03,1.810742629150e+22,6.227931636260e+06
1.186326249340e-13,5.000000016890e-02,4.241378601190e-03,3.520253202870e-04,7.158347362940e-06,7.799424931050e-01,1.588305053950e-01,6.619280937940e-03,1.444720793870e-06,5.713403877090e-06,1.000000000000e+04,4.000000438270e+03,4.000001268820e+03,4.000001616270e+03,4.000000059850e+03,4.000000102750e+03,4.000000267790e+03,4.000015430840e+03,4.000008861250e+03,9.380891896690e-04,2.500000000220e+03,1.810742629170e+22,6.227931640220e+06
1.304121143080e-13,5.000000018570e-02,4.241378693660e-03,3.520253404020e-04,7.158348585650e-06,7.799424924930e-01,1.588305058000e-01,6.619281010970e-03,1.444721829320e-06,5.713405816810e-06,1.000000000000e+04,4.000000481790e+03,4.000001394800e+03,4.000001776760e+03,4.000000065790e+03,4.000000112950e+03,4.000000294380e+03,4.000016963030e+03,4.000009741120e+03,9.380891896690e-04,2.500000000240e+03,1.810742629180e+22,6.227931644240e+06
1.423682960220e-13,5.000000020270e-02,4.241378787510e-03,3.520253608180e-04,7.158349826690e-06,7.799424918730e-01,1.588305062110e-01,6.619281085100e-03,1.444722880310e-06,5.713407785630e-06,1.000000000000e+04,4.000000525960e+03,4.000001522680e+03,4.000001939650e+03,4.000000071820e+03,4.000000123310e+03,4.000000321370e+03,4.000018518200e+03,4.000010634180e+03,9.380891896690e-04,2.500000000260e+03,1.810742629200e+22,6.227931648320e+06
1.545038204630e-13,5.000000022000e-02,4.241378882780e-03,3.520253815400e-04,7.158351086350e-06,7.799424912430e-01,1.588305066280e-01,6.619281160340e-03,1.444723947050e-06,5.713409783990e-06,1.000000000000e+04,4.000000570790e+03,4.000001652470e+03,4.000002104990e+03,4.000000077940e+03,4.000000133820e+03,4.000000348760e+03,4.000020096690e+03,4.000011540640e+03,9.380891896690e-04,2.500000000280e+03,1.810742629210e+22,6.227931652460e+06
1.668213777700e-13,5.000000023750e-02,4.241378979470e-03,3.520254025740e-04,7.158352364900e-06,7.799424906030e-01,1.588305070510e-01,6.619281236710e-03,1.444725029800e-06,5.713411812310e-06,1.000000000000e+04,4.000000616300e+03,4.000001784220e+03,4.000002272800e+03,4.000000084160e+03,4.000000144490e+03,4.000000376570e+03,4.000021698860e+03,4.000012460700e+03,9.380891896690e-04,2.500000000300e+03,1.810742629230e+22,6.227931656660e+06
1.793236984360e-13,5.000000025530e-02,4.241379077610e-03,3.520254239230e-04,7.158353662640e-06,7.799424899540e-01,1.588305074810e-01,6.619281314220e-03,1.444726128790e-06,5.713413871070e-06,1.000000000000e+04,4.000000662490e+03,4.000001917930e+03,4.000002443140e+03,4.000000090460e+03,4.000000155320e+03,4.000000404790e+03,4.000023325070e+03,4.000013394560e+03,9.380891896690e-04,2.500000000330e+03,1.810742629250e+22,6.227931660920e+06
1.920135539130e-13,5.000000027340e-02,4.241379177230e-03,3.520254455920e-04,7.158354979840e-06,7.799424892950e-01,1.588305079170e-01,6.619281392900e-03,1.444727244270e-06,5.713415960700e-06,1.000000000000e+04,4.000000709370e+03,4.000002053650e+03,4.000002616020e+03,4.000000096870e+03,4.000000166310e+03,4.000000433430e+03,4.000024975660e+03,4.000014342420e+03,9.380891896690e-04,2.500000000350e+03,1.810742629260e+22,6.227931665250e+06
2.048937572210e-13,5.000000029170e-02,4.241379278340e-03,3.520254675860e-04,7.158356316790e-06,7.799424886270e-01,1.588305083600e-01,6.619281472760e-03,1.444728376480e-06,5.713418081680e-06,1.000000000000e+04,4.000000756950e+03,4.000002191410e+03,4.000002791510e+03,4.000000103360e+03,4.000000177460e+03,4.000000462510e+03,4.000026651010e+03,4.000015304510e+03,9.380891896690e-04,2.500000000370e+03,1.810742629280e+22,6.227931669640e+06
2.179671635800e-13,5.000000031040e-02,4.241379380970e-03,3.520254899100e-04,7.158357673800e-06,7.799424879480e-01,1.588305088100e-01,6.619281553810e-03,1.444729525670e-06,5.713420234470e-06,1.000000000000e+04,4.000000805250e+03,4.000002331240e+03,4.000002969620e+03,4.000000109960e+03,4.000000188790e+03,4.000000492020e+03,4.000028351490e+03,4.000016281020e+03,9.380891896690e-04,2.500000000400e+03,1.810742629300e+22,6.227931674100e+06
2.312366710330e-13,5.000000032920e-02,4.241379485130e-03,3.520255125690e-04,7.158359051170e-06,7.799424872590e-01,1.588305092660e-01,6.619281636080e-03,1.444730692090e-06,5.713422419550e-06,1.000000000000e+04,4.000000854270e+03,4.000002473160e+03,4.000003150410e+03,4.000000116650e+03,4.000000200280e+03,4.000000521970e+03,4.000030077470e+03,4.000017272180e+03,9.380891896690e-04,2.500000000420e+03,1.810742629320e+22,6.227931678630e+06
2.447052210990e-13,5.000000034840e-02,4.241379590860e-03,3.520255355670e-04,7.158360449200e-06,7.799424865600e-01,1.588305097290e-01,6.619281719590e-03,1.444731876020e-06,5.713424637410e-06,1.000000000000e+04,4.000000904030e+03,4.000002617210e+03,4.000003333900e+03,4.000000123450e+03,4.000000211950e+03,4.000000552380e+03,4.000031829340e+03,4.000018278210e+03,9.380891896690e-04,2.500000000450e+03,1.810742629330e+22,6.227931683220e+06
2.583757994150e-13,5.000000036790e-02,4.241379698170e-03,3.520255589110e-04,7.158361868190e-06,7.799424858500e-01,1.588305101990e-01,6.619281804350e-03,1.444733077700e-06,5.713426888540e-06,1.000000000000e+04,4.000000954530e+03,4.000002763420e+03,4.000003520150e+03,4.000000130350e+03,4.000000223790e+03,4.000000583230e+03,4.000033607490e+03,4.000019299330e+03,9.380891896690e-04,2.500000000470e+03,1.810742629350e+22,6.227931687880e+06
2.722514364070e-13,5.000000038760e-02,4.241379807100e-03,3.520255826050e-04,7.158363308480e-06,7.799424851300e-01,1.588305106760e-01,6.619281890370e-03,1.444734297410e-06,5.713429173440e-06,1.000000000000e+04,4.000001005800e+03,4.000002911830e+03,4.000003709200e+03,4.000000137340e+03,4.000000235800e+03,4.000000614560e+03,4.000035412300e+03,4.000020335760e+03,9.380891896690e-04,2.500000000500e+03,1.810742629370e+22,6.227931692620e+06
2.863352079530e-13,5.000000040770e-02,4.241379917660e-03,3.520256066540e-04,7.158364770360e-06,7.799424843990e-01,1.588305111600e-01,6.619281977690e-03,1.444735535420e-06,5.713431492610e-06,1.000000000000e+04,4.000001057830e+03,4.000003062460e+03,4.000003901080e+03,4.000000144450e+03,4.000000248000e+03,4.000000646350e+03,4.000037244180e+03,4.000021387740e+03,9.380891896690e-04,2.500000000520e+03,1.810742629390e+22,6.227931697420e+06
3.006302360720e-13,5.000000042810e-02,4.241380029870e-03,3.520256310640e-04,7.158366254180e-06,7.799424836570e-01,1.588305116510e-01,6.619282066320e-03,1.444736791990e-06,5.713433846560e-06,1.000000000000e+04,4.000001110640e+03,4.000003215350e+03,4.000004095830e+03,4.000000151660e+03,4.000000260380e+03,4.000000678620e+03,4.000039103540e+03,4.000022455500e+03,9.380891896690e-04,2.500000000550e+03,1.810742629410e+22,6.227931702300e+06
3.151396896130e-13,5.000000044870e-02,4.241380143770e-03,3.520256558410e-04,7.158367760250e-06,7.799424829030e-01,1.588305121500e-01,6.619282156280e-03,1.444738067410e-06,5.713436235830e-06,1.000000000000e+04,4.000001164240e+03,4.000003370530e+03,4.000004293510e+03,4.000000158980e+03,4.000000272950e+03,4.000000711370e+03,4.000040990790e+03,4.000023539270e+03,9.380891896690e-04,2.500000000580e+03,1.810742629430e+22,6.227931707240e+06
3.298667849570e-13,5.000000046970e-02,4.241380259380e-03,3.520256809880e-04,7.158369288910e-06,7.799424821390e-01,1.588305126560e-01,6.619282247590e-03,1.444739361970e-06,5.713438660930e-06,1.000000000000e+04,4.000001218650e+03,4.000003528040e+03,4.000004494150e+03,4.000000166410e+03,4.000000285710e+03,4.000000744610e+03,4.000042906340e+03,4.000024639300e+03,9.380891896690e-04,2.500000000600e+03,1.810742629450e+22,6.227931712270e+06
3.448147867320e-13,5.000000049100e-02,4.241380376720e-03,3.520257065130e-04,7.158370840500e-06,7.799424813630e-01,1.588305131700e-01,6.619282340270e-03,1.444740675940e-06,5.713441122410e-06,1.000000000000e+04,4.000001273870e+03,4.000003687920e+03,4.000004697810e+03,4.000000173950e+03,4.000000298650e+03,4.000000778350e+03,4.000044850630e+03,4.000025755830e+03,9.380891896690e-04,2.500000000630e+03,1.810742629470e+22,6.227931717370e+06
3.599870085330e-13,5.000000051260e-02,4.241380495820e-03,3.520257324210e-04,7.158372415370e-06,7.799424805750e-01,1.588305136920e-01,6.619282434330e-03,1.444742009620e-06,5.713443620820e-06,1.000000000000e+04,4.000001329920e+03,4.000003850190e+03,4.000004904520e+03,4.000000181610e+03,4.000000311800e+03,4.000000812600e+03,4.000046824070e+03,4.000026889110e+03,9.380891896690e-04,2.500000000660e+03,1.810742629490e+22,6.227931722540e+06
