t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,X_O2_9,X_O2_10,X_O2_11,X_O2_12,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,Tg_9,Tg_10,Tg_11,Tg_12,rho,p,n,E
2.447052210990e-13,4.999999747590e-02,2.073311102120e-08,2.299077332410e-11,4.143344690910e-12,3.273034289170e-13,3.280327988890e-09,2.576953634270e-10,1.004037967930e-09,3.938413970950e-08,9.393783971320e-01,1.049359126040e-02,1.263040665750e-04,1.645378789820e-06,1.000000000000e+04,4.498786301460e+03,3.326093777260e+03,4.464392953800e+03,4.058624984610e+02,5.458979960400e+03,5.148055251030e+03,5.922485738040e+03,1.886522080640e+03,5.000025359230e+02,5.000209966210e+02,5.004578206190e+02,5.161077782310e+02,7.504713504400e-03,1.999999993960e+04,1.448594098830e+23,4.526076416490e+06
2.583757994150e-13,4.999999751360e-02,2.189137471700e-08,2.427516460460e-11,4.374817072640e-12,3.455883805100e-13,3.463585186680e-09,2.720916492260e-10,1.060129063370e-09,4.029292885840e-08,9.393783895540e-01,1.049359480160e-02,1.263051905950e-04,1.645930612580e-06,1.000000000000e+04,4.502303185860e+03,3.326081571350e+03,4.464346158680e+03,4.055756063740e+02,5.459039629670e+03,5.148054705860e+03,5.922483953770e+03,1.930705642920e+03,5.000026775940e+02,5.000221696010e+02,5.004833926650e+02,5.170018925470e+02,7.504713504400e-03,1.999999994000e+04,1.448594098860e+23,4.526076473790e+06
2.722514364070e-13,4.999999755180e-02,2.306701240210e-08,2.557882179270e-11,4.609761801690e-12,3.641476046320e-13,3.649591248360e-09,2.867038800510e-10,1.117061527150e-09,4.121534987200e-08,9.393783818640e-01,1.049359839600e-02,1.263063314760e-04,1.646490712680e-06,1.000000000000e+04,4.505486378550e+03,3.326070517450e+03,4.464303888620e+03,4.054501951570e+02,5.459093656610e+03,5.148054219060e+03,5.922482343650e+03,1.973904440580e+03,5.000028213890e+02,5.000233601740e+02,5.005093478230e+02,5.179087998180e+02,7.504713504400e-03,1.999999994040e+04,1.448594098890e+23,4.526076531960e+06
2.863352079530e-13,4.999999759060e-02,2.426028468730e-08,2.690203387800e-11,4.848230971230e-12,3.829852153200e-13,3.838387407090e-09,3.015352951000e-10,1.174847979850e-09,4.215160722920e-08,9.393783740580e-01,1.049360204420e-02,1.263074894700e-04,1.647059214310e-06,1.000000000000e+04,4.508356118290e+03,3.326060546180e+03,4.464265872210e+03,4.054835626190e+02,5.459142381060e+03,5.148053787190e+03,5.922480897270e+03,2.016109878900e+03,5.000029673420e+02,5.000245686050e+02,5.005356918250e+02,5.188286735070e+02,7.504713504400e-03,1.999999994080e+04,1.448594098920e+23,4.526076590990e+06
3.006302360720e-13,4.999999763000e-02,2.547145609270e-08,2.824509418530e-11,5.090277455980e-12,4.021053883160e-13,4.030015514540e-09,3.165891821590e-10,1.233501231370e-09,4.310190847590e-08,9.393783661350e-01,1.049360574720e-02,1.263086648330e-04,1.647636243470e-06,1.000000000000e+04,4.510974221800e+03,3.326051443660e+03,4.464231272460e+03,4.056669323890e+02,5.459186849860e+03,5.148053399610e+03,5.922479582430e+03,2.057456704910e+03,5.000031154840e+02,5.000257951610e+02,5.005624304910e+02,5.197616903550e+02,7.504713504400e-03,1.999999994120e+04,1.448594098950e+23,4.526076650910e+06
3.151396896130e-13,4.999999766990e-02,2.670079510620e-08,2.960830043910e-11,5.335954924110e-12,4.215123619990e-13,4.224518050130e-09,3.318688783320e-10,1.293034283740e-09,4.406646427120e-08,9.393783580930e-01,1.049360950580e-02,1.263098578280e-04,1.648221928080e-06,1.000000000000e+04,4.513367287360e+03,3.326043118650e+03,4.464199732320e+03,4.058720441270e+02,5.459227510020e+03,5.148053051790e+03,5.922478385420e+03,2.097944186600e+03,5.000032658480e+02,5.000270401160e+02,5.005895697240e+02,5.207080279730e+02,7.504713504400e-03,1.999999994160e+04,1.448594098980e+23,4.526076711730e+06
3.298667849570e-13,4.999999771050e-02,2.794857424310e-08,3.099195482980e-11,5.585317849080e-12,4.412104383240e-13,4.421938130500e-09,3.473777707800e-10,1.353460334040e-09,4.504548843420e-08,9.393783499300e-01,1.049361332070e-02,1.263110687170e-04,1.648816397980e-06,1.000000000000e+04,4.515573817040e+03,3.326035438600e+03,4.464170733170e+03,4.059303365250e+02,5.459265010520e+03,5.148052737140e+03,5.922477286310e+03,2.137606432740e+03,5.000034184670e+02,5.000283037430e+02,5.006171155180e+02,5.216678663380e+02,7.504713504400e-03,1.999999994200e+04,1.448594099010e+23,4.526076773460e+06
3.448147867320e-13,4.999999775160e-02,2.921507010640e-08,3.239636408100e-11,5.838421521870e-12,4.612039837720e-13,4.622319519050e-09,3.631192974730e-10,1.414792777310e-09,4.603919799130e-08,9.393783416450e-01,1.049361719280e-02,1.263122977690e-04,1.649419784930e-06,1.000000000000e+04,4.517594911040e+03,3.326028399740e+03,4.464144260340e+03,4.057751440870e+02,5.459299369340e+03,5.148052455450e+03,5.922476284560e+03,2.176475683850e+03,5.000035733760e+02,5.000295863240e+02,5.006450739560e+02,5.226413881680e+02,7.504713504400e-03,1.999999994240e+04,1.448594099040e+23,4.526076836120e+06
3.599870085330e-13,4.999999779340e-02,3.050056344820e-08,3.382183951670e-11,6.095322062930e-12,4.814974303200e-13,4.825706635640e-09,3.790969479510e-10,1.477045209520e-09,4.704781322440e-08,9.393783332350e-01,1.049362112300e-02,1.263135452580e-04,1.650032222710e-06,1.000000000000e+04,4.519479056030e+03,3.326021835080e+03,4.464119660270e+03,4.055372848160e+02,5.459331404230e+03,5.148052198440e+03,5.922475355060e+03,2.214607044170e+03,5.000037306080e+02,5.000308881430e+02,5.006734512090e+02,5.236287777930e+02,7.504713504400e-03,1.999999994280e+04,1.448594099070e+23,4.526076899710e+06
3.753868136610e-13,4.999999783580e-02,3.180533923190e-08,3.526869713120e-11,6.356076434800e-12,5.020952764210e-13,5.032144566410e-09,3.953142640970e-10,1.540231430550e-09,4.807155771940e-08,9.393783247000e-01,1.049362511220e-02,1.263148114580e-04,1.650653847070e-06,1.000000000000e+04,4.521258705540e+03,3.326015632750e+03,4.464096495320e+03,4.053950771110e+02,5.459361662780e+03,5.148051960520e+03,5.922474480990e+03,2.252046775480e+03,5.000038901990e+02,5.000322094880e+02,5.007022535450e+02,5.246302218470e+02,7.504713504400e-03,1.999999994330e+04,1.448594099100e+23,4.526076964260e+06
