t,X_O,X_O2,Th,Tv,rho,p,n,E
2.035528497100e-12,5.000024155610e-02,9.499997584440e-01,1.000000000000e+04,5.001810983160e+02,7.504713517360e-03,2.000000247750e+04,1.448594282650e+23,6.930927099530e+06
2.076061424560e-12,5.000024636620e-02,9.499997536340e-01,1.000000000000e+04,5.001847027100e+02,7.504713517360e-03,2.000000252680e+04,1.448594286230e+23,6.930927348360e+06
2.117202345930e-12,5.000025124840e-02,9.499997487520e-01,1.000000000000e+04,5.001883611000e+02,7.504713517360e-03,2.000000257690e+04,1.448594289850e+23,6.930927600930e+06
2.158960381120e-12,5.000025620380e-02,9.499997437960e-01,1.000000000000e+04,5.001920742930e+02,7.504713517360e-03,2.000000262770e+04,1.448594293530e+23,6.930927857270e+06
2.201344786830e-12,5.000026123360e-02,9.499997387660e-01,1.000000000000e+04,5.001958431090e+02,7.504713517360e-03,2.000000267930e+04,1.448594297270e+23,6.930928117470e+06
2.244364958640e-12,5.000026633880e-02,9.499997336610e-01,1.000000000000e+04,5.001996683800e+02,7.504713517360e-03,2.000000273170e+04,1.448594301060e+23,6.930928381560e+06
2.288030433020e-12,5.000027152060e-02,9.499997284790e-01,1.000000000000e+04,5.002035509500e+02,7.504713517360e-03,2.000000278480e+04,1.448594304910e+23,6.930928649610e+06
2.332350889510e-12,5.000027678010e-02,9.499997232200e-01,1.000000000000e+04,5.002074916780e+02,7.504713517360e-03,2.000000283880e+04,1.448594308820e+23,6.930928921680e+06
2.377336152850e-12,5.000028211860e-02,9.499997178810e-01,1.000000000000e+04,5.002114914330e+02,7.504713517360e-03,2.000000289350e+04,1.448594312790e+23,6.930929197840e+06
2.422996195150e-12,5.000028753710e-02,9.499997124630e-01,1.000000000000e+04,5.002155510980e+02,7.504713517360e-03,2.000000294910e+04,1.448594316810e+23,6.930929478130e+06
2.469341138070e-12,5.000029303680e-02,9.499997069630e-01,1.000000000000e+04,5.002196715680e+02,7.504713517360e-03,2.000000300550e+04,1.448594320900e+23,6.930929762620e+06
