t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,X_O2_9,X_O2_10,X_O2_11,X_O2_12,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,Tg_9,Tg_10,Tg_11,Tg_12,rho,p,n,E
2.583757994150e-13,5.000000036790e-02,3.416968019150e-02,4.360994689170e-06,1.381336330070e-06,4.020465660740e-07,8.970087386800e-03,7.536360552860e-05,9.754578784820e-04,9.983867567430e-02,3.874171015030e-01,2.193851647390e-01,1.265686411140e-01,7.259368316200e-02,1.000000000000e+04,4.000000501160e+03,4.000002173150e+03,4.000035387370e+03,3.999923842920e+03,4.000000338430e+03,4.000003113550e+03,4.000000853920e+03,4.000000168520e+03,4.000000185360e+03,4.000000190040e+03,4.000000199220e+03,4.000000208780e+03,9.380891896690e-04,2.500000000470e+03,1.810742629350e+22,6.227935367470e+06
2.722514364070e-13,5.000000038770e-02,3.416968060470e-02,4.360995528590e-06,1.381337680700e-06,4.020465720510e-07,8.970087434770e-03,7.536361220490e-05,9.754578978910e-04,9.983867572790e-02,3.874171011950e-01,2.193851645820e-01,1.265686410460e-01,7.259368313210e-02,1.000000000000e+04,4.000000528080e+03,4.000002289850e+03,4.000037287770e+03,3.999919753090e+03,4.000000356610e+03,4.000003280760e+03,4.000000899770e+03,4.000000177570e+03,4.000000195310e+03,4.000000200240e+03,4.000000209920e+03,4.000000219990e+03,9.380891896690e-04,2.500000000500e+03,1.810742629370e+22,6.227935372200e+06
2.863352079530e-13,5.000000040770e-02,3.416968102410e-02,4.360996380600e-06,1.381339051590e-06,4.020465781180e-07,8.970087483460e-03,7.536361898140e-05,9.754579175910e-04,9.983867578240e-02,3.874171008840e-01,2.193851644220e-01,1.265686409760e-01,7.259368310170e-02,1.000000000000e+04,4.000000555390e+03,4.000002408310e+03,4.000039216670e+03,3.999915601930e+03,4.000000375050e+03,4.000003450480e+03,4.000000946320e+03,4.000000186760e+03,4.000000205420e+03,4.000000210600e+03,4.000000220770e+03,4.000000231370e+03,9.380891896690e-04,2.500000000520e+03,1.810742629390e+22,6.227935377010e+06
3.006302360720e-13,5.000000042810e-02,3.416968144980e-02,4.360997245390e-06,1.381340443040e-06,4.020465842750e-07,8.970087532870e-03,7.536362585950e-05,9.754579375870e-04,9.983867583770e-02,3.874171005670e-01,2.193851642600e-01,1.265686409060e-01,7.259368307090e-02,1.000000000000e+04,4.000000583120e+03,4.000002528540e+03,4.000041174500e+03,3.999911388510e+03,4.000000393780e+03,4.000003622740e+03,4.000000993560e+03,4.000000196080e+03,4.000000215670e+03,4.000000221110e+03,4.000000231800e+03,4.000000242920e+03,9.380891896690e-04,2.500000000550e+03,1.810742629410e+22,6.227935381880e+06
3.151396896130e-13,5.000000044870e-02,3.416968188180e-02,4.360998123150e-06,1.381341855360e-06,4.020465905260e-07,8.970087583030e-03,7.536363284070e-05,9.754579578830e-04,9.983867589380e-02,3.874171002460e-01,2.193851640960e-01,1.265686408340e-01,7.259368303960e-02,1.000000000000e+04,4.000000611260e+03,4.000002650580e+03,4.000043161690e+03,3.999907111900e+03,4.000000412780e+03,4.000003797580e+03,4.000001041520e+03,4.000000205550e+03,4.000000226080e+03,4.000000231790e+03,4.000000242980e+03,4.000000254650e+03,9.380891896690e-04,2.500000000580e+03,1.810742629430e+22,6.227935386830e+06
3.298667849570e-13,5.000000046970e-02,3.416968232030e-02,4.360999014080e-06,1.381343288870e-06,4.020465968690e-07,8.970087633950e-03,7.536363992670e-05,9.754579784830e-04,9.983867595080e-02,3.874170999200e-01,2.193851639290e-01,1.265686407620e-01,7.259368300790e-02,1.000000000000e+04,4.000000639830e+03,4.000002774440e+03,4.000045178690e+03,3.999902771150e+03,4.000000432070e+03,4.000003975050e+03,4.000001090190e+03,4.000000215150e+03,4.000000236650e+03,4.000000242620e+03,4.000000254340e+03,4.000000266550e+03,9.380891896690e-04,2.500000000600e+03,1.810742629450e+22,6.227935391850e+06
3.448147867320e-13,5.000000049100e-02,3.416968276550e-02,4.360999918370e-06,1.381344743880e-06,4.020466033080e-07,8.970087685620e-03,7.536364711900e-05,9.754579993920e-04,9.983867600860e-02,3.874170995890e-01,2.193851637590e-01,1.265686406880e-01,7.259368297570e-02,1.000000000000e+04,4.000000668820e+03,4.000002900170e+03,4.000047225950e+03,3.999898365290e+03,4.000000451650e+03,4.000004155180e+03,4.000001139590e+03,4.000000224900e+03,4.000000247370e+03,4.000000253610e+03,4.000000265860e+03,4.000000278620e+03,9.380891896690e-04,2.500000000630e+03,1.810742629470e+22,6.227935396950e+06
3.599870085330e-13,5.000000051260e-02,3.416968321720e-02,4.361000836220e-06,1.381346220720e-06,4.020466098440e-07,8.970087738070e-03,7.536365441910e-05,9.754580206150e-04,9.983867606730e-02,3.874170992530e-01,2.193851635870e-01,1.265686406130e-01,7.259368294300e-02,1.000000000000e+04,4.000000698250e+03,4.000003027780e+03,4.000049303900e+03,3.999893893370e+03,4.000000471530e+03,4.000004338020e+03,4.000001189730e+03,4.000000234800e+03,4.000000258260e+03,4.000000264770e+03,4.000000277560e+03,4.000000290880e+03,9.380891896690e-04,2.500000000660e+03,1.810742629490e+22,6.227935402130e+06
3.753868136610e-13,5.000000053450e-02,3.416968367580e-02,4.361001767850e-06,1.381347719710e-06,4.020466164780e-07,8.970087791310e-03,7.536366182880e-05,9.754580421560e-04,9.983867612690e-02,3.874170989120e-01,2.193851634120e-01,1.265686405370e-01,7.259368290980e-02,1.000000000000e+04,4.000000728120e+03,4.000003157300e+03,4.000051413030e+03,3.999889354370e+03,4.000000491700e+03,4.000004523590e+03,4.000001240630e+03,4.000000244840e+03,4.000000269300e+03,4.000000276100e+03,4.000000289440e+03,4.000000303330e+03,9.380891896690e-04,2.500000000690e+03,1.810742629510e+22,6.227935407380e+06
3.910176158650e-13,5.000000055680e-02,3.416968414120e-02,4.361002713450e-06,1.381349241180e-06,4.020466232110e-07,8.970087845350e-03,7.536366934960e-05,9.754580640210e-04,9.983867618730e-02,3.874170985660e-01,2.193851632350e-01,1.265686404600e-01,7.259368287610e-02,1.000000000000e+04,4.000000758440e+03,4.000003288770e+03,4.000053553780e+03,3.999884747300e+03,4.000000512170e+03,4.000004711950e+03,4.000001292290e+03,4.000000255040e+03,4.000000280520e+03,4.000000287600e+03,4.000000301490e+03,4.000000315960e+03,9.380891896690e-04,2.500000000710e+03,1.810742629530e+22,6.227935412710e+06
