# Idx,Group
341,8
342,8
343,6
344,6
345,6
346,8
347,8
348,8
349,8
350,6
351,6
352,6
353,8
354,6
355,6
356,6
357,6
358,6
359,8
360,6
361,6
362,6
363,6
364,6
365,8
366,6
367,8
368,6
369,8
370,6
371,6
372,6
373,6
374,6
375,8
376,6
377,6
378,6
379,8
380,6
381,8
382,6
383,8
384,6
385,6
386,8
387,6
388,6
389,6
390,6
391,8
392,8
393,6
394,8
395,6
396,6
397,6
398,8
399,6
400,8
401,6
402,6
403,6
404,8
405,6
406,8
407,6
408,8
409,8
410,6
411,6
412,6
413,6
414,8
415,6
416,8
417,8
418,6
419,6
420,8
421,6
422,6
423,6
424,8
425,8
426,6
427,8
428,6
429,6
430,8
431,6
432,6
433,8
434,6
435,8
436,8
437,6
438,6
439,6
440,6
441,6
442,6
443,6
444,6
445,6
446,6
447,6
448,8
449,8
450,6
451,6
452,6
453,6
454,8
455,6
456,8
457,6
458,6
459,6
460,6
461,6
462,8
463,6
464,6
465,6
466,8
467,6
468,6
469,6
470,8
471,6
472,6
473,8
474,6
475,8
476,6
477,6
478,6
479,6
480,6
481,8
482,8
483,6
484,6
485,6
486,8
487,8
488,6
489,6
490,6
491,6
492,6
493,6
494,8
495,6
496,8
497,8
498,6
499,6
500,8
501,6
502,6
503,6
504,6
505,8
506,6
507,8
508,6
509,6
510,6
511,8
512,8
513,6
514,6
515,6
516,6
517,6
518,8
519,8
520,6
521,6
522,8
523,8
524,6
525,6
526,6
527,6
528,8
529,8
530,6
531,6
532,6
533,6
534,6
535,6
536,6
537,6
538,6
539,6
540,6
541,6
542,6
543,6
544,8
545,6
546,8
547,6
548,8
549,6
550,6
551,6
552,8
553,6
554,6
555,6
556,6
557,6
558,6
559,6
560,6
561,6
562,8
563,6
564,8
565,6
566,8
567,6
568,8
569,6
570,6
571,6
572,6
573,6
574,6
575,6
576,8
577,6
578,6
579,8
580,6
581,6
582,8
583,8
584,6
585,6
586,6
587,6
588,6
589,8
590,6
591,6
592,6
593,6
594,8
595,8
596,6
597,6
598,6
599,8
600,6
601,8
602,6
603,6
604,6
605,6
606,6
607,6
608,8
609,8
610,6
611,6
612,6
613,6
614,8
615,8
616,6
617,6
618,6
619,6
620,6
621,8
622,8
623,6
624,6
625,4
626,6
627,4
628,4
629,6
630,4
631,8
632,4
633,4
634,8
635,4
636,6
637,4
638,6
639,4
640,6
641,6
642,4
643,4
644,8
645,4
646,6
647,8
648,6
649,4
650,6
651,6
652,8
653,4
654,4
655,6
656,6
657,8
658,4
659,6
660,4
661,6
662,6
663,6
664,8
665,4
666,8
667,4
668,8
669,6
670,6
671,6
672,4
673,6
674,4
675,6
676,8
677,6
678,6
679,4
680,8
681,6
682,4
683,8
684,6
685,6
686,8
687,4
688,6
689,6
690,4
691,6
692,6
693,6
694,8
695,4
696,6
697,8
698,6
699,8
700,4
701,8
702,4
703,6
704,6
705,6
706,6
707,6
708,4
709,6
710,8
711,8
712,8
713,4
714,6
715,6
716,8
717,6
718,6
719,4
720,6
721,6
722,4
723,6
724,6
725,8
726,8
727,4
728,4
729,4
730,4
731,4
732,4
733,8
734,6
735,4
736,4
737,6
738,4
739,6
740,4
741,6
742,4
743,1
744,4
745,4
746,6
747,4
748,4
749,4
750,8
751,6
752,6
753,6
754,4
755,8
756,6
757,4
758,4
759,4
760,8
761,6
762,6
763,4
764,1
765,4
766,6
767,4
768,6
769,8
770,4
771,4
772,6
773,6
774,8
775,4
776,6
777,6
778,4
779,4
780,8
781,4
782,6
783,6
784,1
785,4
786,4
787,6
788,8
789,6
790,6
791,4
792,6
793,8
794,4
795,4
796,6
797,4
