t,X_O,X_O2,Th,Tv,rho,p,n,E
5.248068365640e-13,5.000006414320e-02,9.499999358570e-01,1.000000000000e+04,5.000468528290e+02,7.504713517360e-03,2.000000065790e+04,1.448594150860e+23,6.930917848760e+06
5.426789391130e-13,5.000006632760e-02,9.499999336720e-01,1.000000000000e+04,5.000484481790e+02,7.504713517360e-03,2.000000068030e+04,1.448594152480e+23,6.930917959350e+06
5.608191231990e-13,5.000006854470e-02,9.499999314550e-01,1.000000000000e+04,5.000500674460e+02,7.504713517360e-03,2.000000070300e+04,1.448594154130e+23,6.930918071590e+06
5.792314100470e-13,5.000007079510e-02,9.499999292050e-01,1.000000000000e+04,5.000517109880e+02,7.504713517360e-03,2.000000072610e+04,1.448594155800e+23,6.930918185520e+06
5.979198811980e-13,5.000007307930e-02,9.499999269210e-01,1.000000000000e+04,5.000533791690e+02,7.504713517360e-03,2.000000074950e+04,1.448594157500e+23,6.930918301150e+06
6.168886794160e-13,5.000007539770e-02,9.499999246020e-01,1.000000000000e+04,5.000550723560e+02,7.504713517360e-03,2.000000077330e+04,1.448594159220e+23,6.930918418520e+06
6.361420096070e-13,5.000007775090e-02,9.499999222490e-01,1.000000000000e+04,5.000567909270e+02,7.504713517360e-03,2.000000079740e+04,1.448594160970e+23,6.930918537650e+06
6.556841397510e-13,5.000008013940e-02,9.499999198610e-01,1.000000000000e+04,5.000585352590e+02,7.504713517360e-03,2.000000082190e+04,1.448594162740e+23,6.930918658560e+06
6.755194018480e-13,5.000008256370e-02,9.499999174360e-01,1.000000000000e+04,5.000603057400e+02,7.504713517360e-03,2.000000084680e+04,1.448594164540e+23,6.930918781290e+06
6.956521928750e-13,5.000008502440e-02,9.499999149760e-01,1.000000000000e+04,5.000621027620e+02,7.504713517360e-03,2.000000087200e+04,1.448594166370e+23,6.930918905860e+06
7.160869757680e-13,5.000008752200e-02,9.499999124780e-01,1.000000000000e+04,5.000639267210e+02,7.504713517360e-03,2.000000089770e+04,1.448594168230e+23,6.930919032300e+06
7.368282804050e-13,5.000009005700e-02,9.499999099430e-01,1.000000000000e+04,5.000657780210e+02,7.504713517360e-03,2.000000092370e+04,1.448594170110e+23,6.930919160630e+06
7.578807046110e-13,5.000009263010e-02,9.499999073700e-01,1.000000000000e+04,5.000676570730e+02,7.504713517360e-03,2.000000095010e+04,1.448594172020e+23,6.930919290890e+06
7.792489151800e-13,5.000009524180e-02,9.499999047580e-01,1.000000000000e+04,5.000695642900e+02,7.504713517360e-03,2.000000097680e+04,1.448594173960e+23,6.930919423100e+06
8.009376489080e-13,5.000009789270e-02,9.499999021070e-01,1.000000000000e+04,5.000715000970e+02,7.504713517360e-03,2.000000100400e+04,1.448594175930e+23,6.930919557290e+06
