t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,X_O2_9,X_O2_10,X_O2_11,X_O2_12,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,Tg_9,Tg_10,Tg_11,Tg_12,rho,p,n,E
2.639419207600e-05,9.999868957960e-01,3.649899986080e-06,5.571496479510e-08,9.731385710750e-08,6.712162584790e-09,1.015979649570e-06,2.742711308040e-07,4.819210817700e-07,2.431139137220e-06,1.831411815720e-06,1.368644419960e-06,1.077101250260e-06,8.140947087910e-07,1.000000000000e+04,9.999999999200e+03,9.999999999420e+03,9.999999999590e+03,9.999999998770e+03,9.999999999520e+03,9.999999999220e+03,9.999999999260e+03,9.999999999610e+03,9.999999999840e+03,9.999999999850e+03,9.999999999850e+03,9.999999999860e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
2.679010496710e-05,9.999868957960e-01,3.649899986050e-06,5.571496479510e-08,9.731385710740e-08,6.712162584790e-09,1.015979649560e-06,2.742711308040e-07,4.819210817680e-07,2.431139137200e-06,1.831411815700e-06,1.368644419950e-06,1.077101250250e-06,8.140947087850e-07,1.000000000000e+04,9.999999999210e+03,9.999999999430e+03,9.999999999590e+03,9.999999998790e+03,9.999999999530e+03,9.999999999230e+03,9.999999999270e+03,9.999999999610e+03,9.999999999840e+03,9.999999999860e+03,9.999999999850e+03,9.999999999860e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
2.719195655160e-05,9.999868957960e-01,3.649899986030e-06,5.571496479500e-08,9.731385710730e-08,6.712162584790e-09,1.015979649550e-06,2.742711308030e-07,4.819210817660e-07,2.431139137180e-06,1.831411815690e-06,1.368644419930e-06,1.077101250240e-06,8.140947087780e-07,1.000000000000e+04,9.999999999220e+03,9.999999999440e+03,9.999999999600e+03,9.999999998820e+03,9.999999999540e+03,9.999999999250e+03,9.999999999290e+03,9.999999999620e+03,9.999999999850e+03,9.999999999860e+03,9.999999999850e+03,9.999999999860e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
2.759983590990e-05,9.999868957960e-01,3.649899986010e-06,5.571496479500e-08,9.731385710720e-08,6.712162584780e-09,1.015979649550e-06,2.742711308030e-07,4.819210817640e-07,2.431139137160e-06,1.831411815670e-06,1.368644419920e-06,1.077101250230e-06,8.140947087710e-07,1.000000000000e+04,9.999999999240e+03,9.999999999450e+03,9.999999999610e+03,9.999999998840e+03,9.999999999550e+03,9.999999999260e+03,9.999999999300e+03,9.999999999630e+03,9.999999999850e+03,9.999999999860e+03,9.999999999860e+03,9.999999999860e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
2.801383345850e-05,9.999868957960e-01,3.649899985980e-06,5.571496479500e-08,9.731385710700e-08,6.712162584780e-09,1.015979649540e-06,2.742711308020e-07,4.819210817610e-07,2.431139137140e-06,1.831411815650e-06,1.368644419910e-06,1.077101250220e-06,8.140947087640e-07,1.000000000000e+04,9.999999999250e+03,9.999999999460e+03,9.999999999620e+03,9.999999998860e+03,9.999999999560e+03,9.999999999280e+03,9.999999999310e+03,9.999999999630e+03,9.999999999850e+03,9.999999999870e+03,9.999999999860e+03,9.999999999870e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
2.843404097040e-05,9.999868957960e-01,3.649899985960e-06,5.571496479490e-08,9.731385710690e-08,6.712162584780e-09,1.015979649530e-06,2.742711308020e-07,4.819210817590e-07,2.431139137120e-06,1.831411815640e-06,1.368644419900e-06,1.077101250210e-06,8.140947087570e-07,1.000000000000e+04,9.999999999270e+03,9.999999999470e+03,9.999999999620e+03,9.999999998880e+03,9.999999999570e+03,9.999999999290e+03,9.999999999330e+03,9.999999999640e+03,9.999999999850e+03,9.999999999870e+03,9.999999999860e+03,9.999999999870e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
2.886055159500e-05,9.999868957960e-01,3.649899985930e-06,5.571496479490e-08,9.731385710680e-08,6.712162584780e-09,1.015979649530e-06,2.742711308010e-07,4.819210817570e-07,2.431139137100e-06,1.831411815620e-06,1.368644419890e-06,1.077101250200e-06,8.140947087500e-07,1.000000000000e+04,9.999999999280e+03,9.999999999480e+03,9.999999999630e+03,9.999999998910e+03,9.999999999580e+03,9.999999999310e+03,9.999999999340e+03,9.999999999650e+03,9.999999999860e+03,9.999999999870e+03,9.999999999860e+03,9.999999999870e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
2.929345987890e-05,9.999868957960e-01,3.649899985910e-06,5.571496479490e-08,9.731385710670e-08,6.712162584780e-09,1.015979649520e-06,2.742711308010e-07,4.819210817540e-07,2.431139137080e-06,1.831411815600e-06,1.368644419870e-06,1.077101250190e-06,8.140947087430e-07,1.000000000000e+04,9.999999999300e+03,9.999999999490e+03,9.999999999640e+03,9.999999998930e+03,9.999999999580e+03,9.999999999320e+03,9.999999999360e+03,9.999999999660e+03,9.999999999860e+03,9.999999999870e+03,9.999999999870e+03,9.999999999870e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
2.973286178710e-05,9.999868957960e-01,3.649899985880e-06,5.571496479490e-08,9.731385710650e-08,6.712162584780e-09,1.015979649510e-06,2.742711308000e-07,4.819210817520e-07,2.431139137060e-06,1.831411815580e-06,1.368644419860e-06,1.077101250180e-06,8.140947087350e-07,1.000000000000e+04,9.999999999320e+03,9.999999999500e+03,9.999999999650e+03,9.999999998960e+03,9.999999999590e+03,9.999999999340e+03,9.999999999370e+03,9.999999999670e+03,9.999999999860e+03,9.999999999880e+03,9.999999999870e+03,9.999999999880e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
3.017885472390e-05,9.999868957960e-01,3.649899985860e-06,5.571496479480e-08,9.731385710640e-08,6.712162584780e-09,1.015979649510e-06,2.742711307990e-07,4.819210817490e-07,2.431139137040e-06,1.831411815570e-06,1.368644419850e-06,1.077101250170e-06,8.140947087280e-07,1.000000000000e+04,9.999999999330e+03,9.999999999520e+03,9.999999999660e+03,9.999999998980e+03,9.999999999600e+03,9.999999999350e+03,9.999999999380e+03,9.999999999670e+03,9.999999999870e+03,9.999999999880e+03,9.999999999870e+03,9.999999999880e+03,7.504713517360e-03,3.899948894270e+04,2.824721485530e+23,2.322000081180e+07
