vqn,jqn,E,egam,rMin,rMax,VMin,VMax,Tau,ri,ro,EVib,ERot,g
0,38,-4.85030718e+00,0.00000000e+00,2.29329090e+00,6.28333860e+00,2.64208416e-01,5.23561884e+00,8.87384410e+02,2.20136810e+00,2.39805440e+00,-5.11304567e+00,2.62738495e-01,1.15500000e+02
1,20,-4.84514762e+00,0.00000000e+00,2.28521860e+00,8.23590850e+00,7.51365465e-02,5.21529274e+00,8.92512450e+02,2.13379560e+00,2.47497600e+00,-4.91903682e+00,7.38892006e-02,6.15000000e+01
1,21,-4.83777026e+00,0.00000000e+00,2.28554990e+00,8.07062400e+00,8.26393027e-02,5.21588269e+00,8.92902100e+02,2.13408500e+00,2.47533960e+00,-4.91903682e+00,8.12665640e-02,6.45000000e+01
0,39,-4.83655097e+00,0.00000000e+00,2.29390030e+00,6.19191610e+00,2.78042459e-01,5.23748908e+00,8.88102170e+02,2.20193060e+00,2.39869640e+00,-5.11304567e+00,2.76494699e-01,1.18500000e+02
1,22,-4.83004383e+00,0.00000000e+00,2.28586170e+00,7.91650540e+00,9.04970915e-02,5.21652542e+00,8.93310720e+02,2.13438830e+00,2.47572060e+00,-4.91903682e+00,8.89929951e-02,6.75000000e+01
0,40,-4.82244954e+00,0.00000000e+00,2.29452220e+00,6.09181830e+00,2.92223733e-01,5.23946735e+00,8.88839710e+02,2.20250810e+00,2.39935540e+00,-5.11304567e+00,2.90596135e-01,1.21500000e+02
1,23,-4.82196868e+00,0.00000000e+00,2.28622580e+00,7.77245910e+00,9.87096053e-02,5.21722312e+00,8.93738360e+02,2.13470560e+00,2.47611920e+00,-4.91903682e+00,9.70681404e-02,7.05000000e+01
1,24,-4.81354512e+00,0.00000000e+00,2.28657600e+00,7.63756260e+00,1.07276518e-01,5.21797769e+00,8.94185070e+02,2.13503680e+00,2.47653540e+00,-4.91903682e+00,1.05491700e-01,7.35000000e+01
0,41,-4.80800347e+00,0.00000000e+00,2.29514330e+00,5.97339570e+00,3.06751680e-01,5.24156834e+00,8.89597140e+02,2.20310050e+00,2.40003150e+00,-5.11304567e+00,3.05042203e-01,1.24500000e+02
1,25,-4.80477350e+00,0.00000000e+00,2.28695780e+00,7.51093670e+00,1.16197486e-01,5.21879131e+00,8.94650930e+02,2.13538190e+00,2.47696910e+00,-4.91903682e+00,1.14263321e-01,7.65000000e+01
1,26,-4.79565415e+00,0.00000000e+00,2.28736250e+00,7.39182020e+00,1.25472158e-01,5.21966534e+00,8.95136010e+02,2.13574110e+00,2.47742050e+00,-4.91903682e+00,1.23382677e-01,7.95000000e+01
0,42,-4.79321331e+00,0.00000000e+00,2.29578150e+00,5.79310880e+00,3.21625728e-01,5.24382525e+00,8.90374570e+02,2.20370780e+00,2.40072480e+00,-5.11304567e+00,3.19832359e-01,1.27500000e+02
1,27,-4.78618749e+00,0.00000000e+00,2.28775310e+00,7.27941010e+00,1.35100162e-01,5.22060196e+00,8.95640350e+02,2.13611420e+00,2.47788950e+00,-4.91903682e+00,1.32849331e-01,8.25000000e+01
0,43,-4.77807969e+00,0.00000000e+00,2.29643990e+00,5.12536000e+00,3.36845280e-01,5.24686041e+00,8.91172130e+02,2.20433020e+00,2.40143520e+00,-5.11304567e+00,3.34965977e-01,1.30500000e+02
1,28,-4.77637387e+00,0.00000000e+00,2.28819520e+00,7.17307730e+00,1.45081115e-01,5.22160279e+00,8.96164050e+02,2.13650140e+00,2.47837610e+00,-4.91903682e+00,1.42662958e-01,8.55000000e+01
1,29,-4.76621370e+00,0.00000000e+00,2.28862490e+00,7.07193910e+00,1.55414621e-01,5.22266975e+00,8.96707180e+02,2.13690260e+00,2.47888050e+00,-4.91903682e+00,1.52823122e-01,8.85000000e+01
0,44,-4.76260321e+00,0.00000000e+00,2.29710720e+00,5.07829490e+00,3.52409682e-01,5.25001666e+00,8.91989910e+02,2.20496750e+00,2.40216290e+00,-5.11304567e+00,3.50442459e-01,1.33500000e+02
1,30,-4.75570741e+00,0.00000000e+00,2.28907670e+00,6.97542890e+00,1.66100270e-01,5.22380474e+00,8.97269800e+02,2.13731790e+00,2.47940260e+00,-4.91903682e+00,1.63329415e-01,9.15000000e+01
0,45,-4.74678449e+00,0.00000000e+00,2.29780360e+00,5.04301180e+00,3.68318363e-01,5.25329645e+00,8.92828050e+02,2.20562000e+00,2.40290780e+00,-5.11304567e+00,3.66261178e-01,1.36500000e+02
1,31,-4.74485540e+00,0.00000000e+00,2.28954690e+00,6.88283000e+00,1.77137631e-01,5.22500966e+00,8.97852010e+02,2.13774730e+00,2.47994250e+00,-4.91903682e+00,1.74181429e-01,9.45000000e+01
1,32,-4.73365812e+00,0.00000000e+00,2.29003640e+00,6.79354230e+00,1.88526270e-01,5.22628696e+00,8.98453880e+02,2.13819080e+00,2.48050030e+00,-4.91903682e+00,1.85378701e-01,9.75000000e+01
0,46,-4.73062419e+00,0.00000000e+00,2.29850300e+00,5.01398200e+00,3.84570669e-01,5.25669189e+00,8.93686680e+02,2.20628750e+00,2.40367010e+00,-5.11304567e+00,3.82421483e-01,1.39500000e+02
2,0,-4.72822964e+00,0.00000000e+00,2.28204900e+00,2.00000000e+02,-5.71472718e-06,5.21125838e+00,9.03566900e+02,2.09279540e+00,2.53536330e+00,-4.72822964e+00,0.00000000e+00,1.50000000e+00
2,1,-4.72788125e+00,0.00000000e+00,2.28204980e+00,2.78187200e+01,3.52601767e-04,5.21126001e+00,9.03585870e+02,2.09280890e+00,2.53538140e+00,-4.72822964e+00,3.48387511e-04,4.50000000e+00
2,2,-4.72718451e+00,0.00000000e+00,2.28209250e+00,2.13714740e+01,1.06921477e-03,5.21126654e+00,9.03623810e+02,2.09283580e+00,2.53541750e+00,-4.72822964e+00,1.04513532e-03,7.50000000e+00
2,3,-4.72613945e+00,0.00000000e+00,2.28212770e+00,1.81502880e+01,2.14410298e-03,5.21128124e+00,9.03680720e+02,2.09287610e+00,2.53547170e+00,-4.72822964e+00,2.09018901e-03,1.05000000e+01
2,4,-4.72474609e+00,0.00000000e+00,2.28219570e+00,1.61206120e+01,3.57721809e-03,5.21130709e+00,9.03756620e+02,2.09292990e+00,2.53554390e+00,-4.72822964e+00,3.48354858e-03,1.35000000e+01
2,5,-4.72300448e+00,0.00000000e+00,2.28227250e+00,1.46900980e+01,5.36850706e-03,5.21134682e+00,9.03851520e+02,2.09299710e+00,2.53563420e+00,-4.72822964e+00,5.22515959e-03,1.65000000e+01
1,33,-4.72211606e+00,0.00000000e+00,2.29054190e+00,6.70676200e+00,2.00265727e-01,5.22763855e+00,8.99075510e+02,2.13864850e+00,2.48107590e+00,-4.91903682e+00,1.96920768e-01,1.00500000e+02
2,6,-4.72091473e+00,0.00000000e+00,2.28235500e+00,1.36119340e+01,7.51789881e-03,5.21140315e+00,9.03965420e+02,2.09307780e+00,2.53574270e+00,-4.72822964e+00,7.31491322e-03,1.95000000e+01
2,7,-4.71847691e+00,0.00000000e+00,2.28248340e+00,1.27611780e+01,1.00253068e-02,5.21147879e+00,9.04098340e+02,2.09317200e+00,2.53586910e+00,-4.72822964e+00,9.75272782e-03,2.25000000e+01
2,8,-4.71569109e+00,0.00000000e+00,2.28259910e+00,1.20673490e+01,1.28906304e-02,5.21157594e+00,9.04250310e+02,2.09327960e+00,2.53601370e+00,-4.72822964e+00,1.25385490e-02,2.55000000e+01
0,47,-4.71412295e+00,0.00000000e+00,2.29923140e+00,4.98903950e+00,4.01165920e-01,5.26019835e+00,8.94565910e+02,2.20697030e+00,2.40444970e+00,-5.11304567e+00,3.98922718e-01,1.42500000e+02
2,9,-4.71255743e+00,0.00000000e+00,2.28272120e+00,1.14872890e+01,1.61137583e-02,5.21169730e+00,9.04421330e+02,2.09340070e+00,2.53617640e+00,-4.72822964e+00,1.56722134e-02,2.85000000e+01
1,34,-4.71022966e+00,0.00000000e+00,2.29106310e+00,6.62188200e+00,2.12355535e-01,5.22906742e+00,8.99716970e+02,2.13912030e+00,2.48166930e+00,-4.91903682e+00,2.08807169e-01,1.03500000e+02
2,10,-4.70907603e+00,0.00000000e+00,2.28286890e+00,1.09925490e+01,1.96945632e-02,5.21184533e+00,9.04611450e+02,2.09353530e+00,2.53635720e+00,-4.72822964e+00,1.91536123e-02,3.15000000e+01
2,11,-4.70524706e+00,0.00000000e+00,2.28303810e+00,1.05639860e+01,2.36329012e-02,5.21202248e+00,9.04820670e+02,2.09368330e+00,2.53655620e+00,-4.72822964e+00,2.29825823e-02,3.45000000e+01
2,12,-4.70107065e+00,0.00000000e+00,2.28322970e+00,1.01876060e+01,2.79286183e-02,5.21223064e+00,9.05049040e+02,2.09384490e+00,2.53677330e+00,-4.72822964e+00,2.71589875e-02,3.75000000e+01
1,35,-4.69799941e+00,0.00000000e+00,2.29160960e+00,6.53813690e+00,2.24795214e-01,5.23057602e+00,9.00378370e+02,2.13960640e+00,2.48228080e+00,-4.91903682e+00,2.21037413e-01,1.06500000e+02
