vqn,jqn,E,egam,rMin,rMax,VMin,VMax,Tau,ri,ro,EVib,ERot,g
1,33,-9.19148304e+00,0.00000000e+00,2.08053710e+00,7.41644400e+00,-9.62202550e+00,1.57220127e-02,6.01089210e+02,1.94548050e+00,2.24493890e+00,-9.46501200e+00,2.73528959e-01,3.35000000e+01
2,0,-9.17983847e+00,0.00000000e+00,2.07381110e+00,5.21838540e+01,-9.89924079e+00,6.53249740e-08,6.03207950e+02,1.90477370e+00,2.29165980e+00,-9.17983847e+00,0.00000000e+00,5.00000000e-01
2,1,-9.17935383e+00,0.00000000e+00,2.07382180e+00,3.02772540e+01,-9.89874500e+00,1.75078336e-06,6.03217310e+02,1.90478450e+00,2.29167360e+00,-9.17983847e+00,4.84634974e-04,1.50000000e+00
2,2,-9.17838429e+00,0.00000000e+00,2.07384730e+00,2.35679390e+01,-9.89775368e+00,8.04598032e-06,6.03236040e+02,1.90480610e+00,2.29170120e+00,-9.17983847e+00,1.45417704e-03,2.50000000e+00
0,48,-9.17715651e+00,0.00000000e+00,2.08796920e+00,6.37913370e+00,-9.32018689e+00,4.39369823e-02,5.99489840e+02,2.00645450e+00,2.17929120e+00,-9.75363811e+00,5.76481601e-01,4.85000000e+01
2,3,-9.17692984e+00,0.00000000e+00,2.07388190e+00,2.00153490e+01,-9.89626658e+00,2.19173321e-05,6.03264130e+02,1.90483850e+00,2.29174250e+00,-9.17983847e+00,2.90862619e-03,3.50000000e+00
2,4,-9.17499103e+00,0.00000000e+00,2.07393130e+00,1.77363160e+01,-9.89428369e+00,4.62466638e-05,6.03301580e+02,1.90488170e+00,2.29179770e+00,-9.17983847e+00,4.84743820e-03,4.50000000e+00
1,34,-9.17496327e+00,0.00000000e+00,2.08094750e+00,7.33587670e+00,-9.60528233e+00,1.70545309e-02,6.01404640e+02,1.94585770e+00,2.24539430e+00,-9.46501200e+00,2.90048726e-01,3.45000000e+01
2,5,-9.17256758e+00,0.00000000e+00,2.07398990e+00,1.61183680e+01,-9.89180527e+00,8.38364545e-05,6.03348410e+02,1.90493570e+00,2.29186660e+00,-9.17983847e+00,7.27088518e-03,5.50000000e+00
2,6,-9.16965950e+00,0.00000000e+00,2.07406060e+00,1.48947770e+01,-9.88883134e+00,1.37415441e-04,6.03404610e+02,1.90500050e+00,2.29194940e+00,-9.17983847e+00,1.01789671e-02,6.50000000e+00
2,7,-9.16626705e+00,0.00000000e+00,2.07414310e+00,1.39283840e+01,-9.88536216e+00,2.09644243e-04,6.03470190e+02,1.90507610e+00,2.29204590e+00,-9.17983847e+00,1.35714120e-02,7.50000000e+00
2,8,-9.16239025e+00,0.00000000e+00,2.07424190e+00,1.31405340e+01,-9.88139773e+00,3.03120836e-04,6.03545150e+02,1.90516250e+00,2.29215620e+00,-9.17983847e+00,1.74482196e-02,8.50000000e+00
2,9,-9.15802907e+00,0.00000000e+00,2.07434980e+00,1.24824940e+01,-9.87693805e+00,4.20385765e-04,6.03629510e+02,1.90525980e+00,2.29228030e+00,-9.17983847e+00,2.18093902e-02,9.50000000e+00
1,35,-9.15796431e+00,0.00000000e+00,2.08137000e+00,7.25735530e+00,-9.58805343e+00,1.84562993e-02,6.01729680e+02,1.94624610e+00,2.24586340e+00,-9.46501200e+00,3.07047685e-01,3.55000000e+01
0,49,-9.15330735e+00,0.00000000e+00,2.08856240e+00,6.32439110e+00,-9.29623052e+00,4.65266936e-02,5.99940830e+02,2.00702010e+00,2.17992170e+00,-9.75363811e+00,6.00330758e-01,4.95000000e+01
