t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,rho,p,n,E
5.792314100470e-13,5.000000082480e-02,9.148664803890e-01,3.462162618410e-02,5.069565460130e-04,4.911936467170e-06,2.411983637670e-08,1.000000000000e+04,4.000000260870e+03,4.000000902570e+03,4.000007023480e+03,4.000061017080e+03,4.000269319080e+03,9.380891896690e-04,2.500000001060e+03,1.810742629780e+22,6.228012943200e+06
5.979198811980e-13,5.000000085140e-02,9.148664798110e-01,3.462162667680e-02,5.069566005850e-04,4.911940195160e-06,2.411995542370e-08,1.000000000000e+04,4.000000269280e+03,4.000000931690e+03,4.000007250080e+03,4.000062985720e+03,4.000278007410e+03,9.380891896690e-04,2.500000001090e+03,1.810742629800e+22,6.228012949580e+06
6.168886794160e-13,5.000000087840e-02,9.148664792250e-01,3.462162717690e-02,5.069566559760e-04,4.911943979070e-06,2.412007625630e-08,1.000000000000e+04,4.000000277830e+03,4.000000961240e+03,4.000007480090e+03,4.000064983880e+03,4.000286826000e+03,9.380891896690e-04,2.500000001130e+03,1.810742629830e+22,6.228012956050e+06
6.361420096070e-13,5.000000090580e-02,9.148664786290e-01,3.462162768450e-02,5.069567121990e-04,4.911947819740e-06,2.412019890140e-08,1.000000000000e+04,4.000000286500e+03,4.000000991250e+03,4.000007713550e+03,4.000067012020e+03,4.000295776800e+03,9.380891896690e-04,2.500000001160e+03,1.810742629850e+22,6.228012962610e+06
6.556841397510e-13,5.000000093360e-02,9.148664780250e-01,3.462162819970e-02,5.069567692640e-04,4.911951718010e-06,2.412032338620e-08,1.000000000000e+04,4.000000295300e+03,4.000001021700e+03,4.000007950500e+03,4.000069070570e+03,4.000304861790e+03,9.380891896690e-04,2.500000001200e+03,1.810742629880e+22,6.228012969280e+06
6.755194018480e-13,5.000000096190e-02,9.148664774120e-01,3.462162872270e-02,5.069568271850e-04,4.911955674770e-06,2.412044973820e-08,1.000000000000e+04,4.000000304230e+03,4.000001052600e+03,4.000008191020e+03,4.000071160000e+03,4.000314082970e+03,9.380891896690e-04,2.500000001230e+03,1.810742629900e+22,6.228012976040e+06
6.956521928750e-13,5.000000099050e-02,9.148664767900e-01,3.462162925350e-02,5.069568859760e-04,4.911959690870e-06,2.412057798550e-08,1.000000000000e+04,4.000000313300e+03,4.000001083980e+03,4.000008435130e+03,4.000073280770e+03,4.000323442390e+03,9.380891896690e-04,2.500000001270e+03,1.810742629930e+22,6.228012982910e+06
7.160869757680e-13,5.000000101960e-02,9.148664761580e-01,3.462162979230e-02,5.069569456480e-04,4.911963767210e-06,2.412070815660e-08,1.000000000000e+04,4.000000322500e+03,4.000001115820e+03,4.000008682920e+03,4.000075433350e+03,4.000332942110e+03,9.380891896690e-04,2.500000001310e+03,1.810742629960e+22,6.228012989880e+06
7.368282804050e-13,5.000000104920e-02,9.148664755170e-01,3.462163033910e-02,5.069570062150e-04,4.911967904700e-06,2.412084028020e-08,1.000000000000e+04,4.000000331840e+03,4.000001148140e+03,4.000008934410e+03,4.000077618210e+03,4.000342584250e+03,9.380891896690e-04,2.500000001350e+03,1.810742629980e+22,6.228012996950e+06
7.578807046110e-13,5.000000107920e-02,9.148664748660e-01,3.462163089420e-02,5.069570676900e-04,4.911972104250e-06,2.412097438570e-08,1.000000000000e+04,4.000000341320e+03,4.000001180940e+03,4.000009189680e+03,4.000079835850e+03,4.000352370940e+03,9.380891896690e-04,2.500000001380e+03,1.810742630010e+22,6.228013004130e+06
