t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,rho,p,n,E
7.368282804050e-13,5.000000229410e-02,9.499999297870e-01,6.187526059940e-08,5.751587920860e-09,2.891191080700e-10,2.894534802560e-12,1.000000000000e+04,5.000090870420e+02,5.755432422020e+03,6.568924666780e+03,5.545495029090e+03,4.952383034840e+03,7.504713517360e-03,2.000000002350e+04,1.448594104910e+23,4.526098029050e+06
7.578807046110e-13,5.000000235960e-02,9.499999277810e-01,6.364314116900e-08,5.915920545130e-09,2.973797256860e-10,2.977237644960e-12,1.000000000000e+04,5.000093466730e+02,5.755432516230e+03,6.568924582900e+03,5.545495260390e+03,4.952384362740e+03,7.504713517360e-03,2.000000002420e+04,1.448594104960e+23,4.526098125270e+06
7.792489151800e-13,5.000000242620e-02,9.499999257450e-01,6.543753996030e-08,6.082718163200e-09,3.057642524520e-10,3.061181094680e-12,1.000000000000e+04,5.000096101980e+02,5.755432610530e+03,6.568924497760e+03,5.545495495150e+03,4.952385710570e+03,7.504713517360e-03,2.000000002490e+04,1.448594105010e+23,4.526098222930e+06
8.009376489080e-13,5.000000249370e-02,9.499999236780e-01,6.725885474710e-08,6.252017750120e-09,3.142745470020e-10,3.146383762800e-12,1.000000000000e+04,5.000098776760e+02,5.755432707030e+03,6.568924411350e+03,5.545495733430e+03,4.952387078620e+03,7.504713517360e-03,2.000000002560e+04,1.448594105060e+23,4.526098322060e+06
8.229517136420e-13,5.000000256220e-02,9.499999215800e-01,6.910748926970e-08,6.423856835560e-09,3.229124958500e-10,3.232864539610e-12,1.000000000000e+04,5.000101491660e+02,5.755432809040e+03,6.568924323630e+03,5.545495975290e+03,4.952388467180e+03,7.504713517360e-03,2.000000002630e+04,1.448594105110e+23,4.526098422680e+06
8.452959893460e-13,5.000000263180e-02,9.499999194510e-01,7.098385332460e-08,6.598273512130e-09,3.316800138070e-10,3.320642598810e-12,1.000000000000e+04,5.000104247280e+02,5.755432912220e+03,6.568924234610e+03,5.545496220780e+03,4.952389876570e+03,7.504713517360e-03,2.000000002700e+04,1.448594105160e+23,4.526098524800e+06
8.679754291860e-13,5.000000270240e-02,9.499999172900e-01,7.288836285510e-08,6.775306443860e-09,3.405790444060e-10,3.409737401780e-12,1.000000000000e+04,5.000107044230e+02,5.755433016560e+03,6.568924144240e+03,5.545496469950e+03,4.952391307100e+03,7.504713517360e-03,2.000000002770e+04,1.448594105220e+23,4.526098628460e+06
8.909950606240e-13,5.000000277410e-02,9.499999150960e-01,7.482144004390e-08,6.954994874710e-09,3.496115603310e-10,3.500168701870e-12,1.000000000000e+04,5.000109883140e+02,5.755433122080e+03,6.568924052520e+03,5.545496722850e+03,4.952392759090e+03,7.504713517360e-03,2.000000002850e+04,1.448594105270e+23,4.526098733670e+06
9.143599865340e-13,5.000000284680e-02,9.499999128700e-01,7.678351340630e-08,7.137378637340e-09,3.587795638600e-10,3.591956548820e-12,1.000000000000e+04,5.000112764630e+02,5.755433228780e+03,6.568923959430e+03,5.545496979550e+03,4.952394232850e+03,7.504713517360e-03,2.000000002920e+04,1.448594105320e+23,4.526098840450e+06
9.380753863320e-13,5.000000292070e-02,9.499999106100e-01,7.877501788540e-08,7.322498161870e-09,3.680850873020e-10,3.685121293150e-12,1.000000000000e+04,5.000115689350e+02,5.755433336670e+03,6.568923864940e+03,5.545497240100e+03,4.952395728720e+03,7.504713517360e-03,2.000000003000e+04,1.448594105380e+23,4.526098948840e+06
